date,token,stoploss,max_order,net_P&L,time,SP_1,SP_time_1,CE_sell_1,PE_sell_1,CE_buy_1,PE_buy_1,start_time_CE_1,start_time_PE_1,end_time_CE_1,end_time_PE_1,SP_2,SP_time_2,CE_sell_2,PE_sell_2,CE_buy_2,PE_buy_2,start_time_CE_2,start_time_PE_2,end_time_CE_2,end_time_PE_2,SP_3,SP_time_3,CE_sell_3,PE_sell_3,CE_buy_3,PE_buy_3,start_time_CE_3,start_time_PE_3,end_time_CE_3,end_time_PE_3,SP_4,SP_time_4,CE_sell_4,PE_sell_4,CE_buy_4,PE_buy_4,start_time_CE_4,start_time_PE_4,end_time_CE_4,end_time_PE_4,SP_5,SP_time_5,CE_sell_5,PE_sell_5,CE_buy_5,PE_buy_5,start_time_CE_5,start_time_PE_5,end_time_CE_5,end_time_PE_5,SP_6,SP_time_6,CE_sell_6,PE_sell_6,CE_buy_6,PE_buy_6,start_time_CE_6,start_time_PE_6,end_time_CE_6,end_time_PE_6,SP_7,SP_time_7,CE_sell_7,PE_sell_7,CE_buy_7,PE_buy_7,start_time_CE_7,start_time_PE_7,end_time_CE_7,end_time_PE_7,SP_8,SP_time_8,CE_sell_8,PE_sell_8,CE_buy_8,PE_buy_8,start_time_CE_8,start_time_PE_8,end_time_CE_8,end_time_PE_8,SP_9,SP_time_9,CE_sell_9,PE_sell_9,CE_buy_9,PE_buy_9,start_time_CE_9,start_time_PE_9,end_time_CE_9,end_time_PE_9,SP_10,SP_time_10,CE_sell_10,PE_sell_10,CE_buy_10,PE_buy_10,start_time_CE_10,start_time_PE_10,end_time_CE_10,end_time_PE_10
2021-08-18,BNF,0.5,3,84.15,1.3835985660552979,36100,09:15:00,111.15,136.0,1.9,161.1,09:15:00,09:15:00,15:01:00,11:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26,BNF,0.5,3,132.35000000000002,3.6894078254699707,35500,09:15:00,119.1,146.4,158.5,38.8,09:15:00,09:15:00,10:00:00,12:33:00,35700,12:34:00,68.9,112.75,61.9,55.6,12:34:00,12:34:00,12:58:00,14:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,BNF,0.5,3,-13.300000000000026,1.6014609336853027,36500,09:15:00,152.7,115.85,159.4,97.0,09:15:00,09:15:00,10:38:00,09:45:00,36600,10:39:00,110.1,86.55,165.1,40.4,10:39:00,10:39:00,11:15:00,12:46:00,36700,12:47:00,91.35,67.75,137.0,38.7,12:47:00,12:47:00,13:14:00,13:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-09,BNF,0.5,3,97.79999999999998,1.3545193672180176,36800,09:15:00,127.2,147.6,68.8,162.8,09:15:00,09:15:00,10:35:00,09:32:00,36700,10:36:00,121.55,75.65,42.1,100.5,10:36:00,10:36:00,13:30:00,12:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-16,BNF,0.5,3,56.749999999999986,2.2175066471099854,37000,09:15:00,97.05,118.0,80.4,100.9,09:15:00,09:15:00,10:08:00,09:57:00,37000,10:09:00,96.4,71.9,144.6,0.7,10:09:00,10:09:00,10:12:00,15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-23,BNF,0.5,3,125.85,1.404177188873291,37300,09:15:00,144.6,200.15,216.9,2.0,09:15:00,09:15:00,09:28:00,14:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,BNF,0.5,3,-16.400000000000002,2.3376896381378174,37700,09:15:00,244.8,130.95,212.7,196.4,09:15:00,09:15:00,09:40:00,09:28:00,37800,09:41:00,167.0,133.9,160.0,178.0,09:41:00,09:41:00,12:03:00,10:32:00,37900,12:04:00,115.05,120.7,0.7,181.0,12:04:00,12:04:00,15:15:00,12:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-07,BNF,0.5,3,81.5,1.690474271774292,37800,09:15:00,141.45,136.4,108.8,137.1,09:15:00,09:15:00,11:54:00,10:23:00,37900,11:55:00,80.8,118.0,90.2,111.7,11:55:00,11:55:00,12:32:00,12:47:00,37800,12:48:00,102.3,63.25,59.9,53.0,12:48:00,12:48:00,13:57:00,13:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-14,BNF,0.5,3,52.599999999999994,0.9258227348327637,38700,09:15:00,174.75,105.45,206.8,20.8,09:15:00,09:15:00,10:09:00,13:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-21,BNF,0.5,3,42.29999999999997,0.9496006965637207,39700,09:15:00,175.85,153.45,78.2,198.1,09:15:00,09:15:00,12:58:00,10:51:00,39700,12:59:00,84.95,130.35,30.5,195.5,12:59:00,12:59:00,13:51:00,13:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
