,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
0,2022-04-19 09:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,287.9,293.45,260.85,260.85,242850,506650,0
1,2022-04-19 09:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,264.55,264.55,240,250.3,280150,563400,1
2,2022-04-19 09:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,250.55,257.85,241,253.65,184650,600750,2
3,2022-04-19 09:30:00,NIFTY,NFO,Options,21-APR-22,Call,17000,253.1,261.9,236.2,240.35,243500,606400,3
4,2022-04-19 09:35:00,NIFTY,NFO,Options,21-APR-22,Call,17000,239.65,242.35,222.95,229.5,207100,667950,4
5,2022-04-19 09:40:00,NIFTY,NFO,Options,21-APR-22,Call,17000,229.95,240.4,222.05,240.4,215800,692500,5
6,2022-04-19 09:45:00,NIFTY,NFO,Options,21-APR-22,Call,17000,242.65,243.15,229.6,233.7,102150,692600,6
7,2022-04-19 09:50:00,NIFTY,NFO,Options,21-APR-22,Call,17000,232,245.75,232,234,145850,693450,7
8,2022-04-19 09:55:00,NIFTY,NFO,Options,21-APR-22,Call,17000,235.75,242.4,232.4,237.85,78650,702500,8
9,2022-04-19 10:00:00,NIFTY,NFO,Options,21-APR-22,Call,17000,237.7,251.75,237.7,251.4,125650,702100,9
10,2022-04-19 10:05:00,NIFTY,NFO,Options,21-APR-22,Call,17000,251.4,255.55,238.45,238.45,140500,678850,10
11,2022-04-19 10:10:00,NIFTY,NFO,Options,21-APR-22,Call,17000,239.2,249,238.7,244,82050,684950,11
12,2022-04-19 10:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,245,245.9,235.65,237,63400,683950,12
13,2022-04-19 10:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,237.5,237.5,228.35,233.05,133700,701900,13
14,2022-04-19 10:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,232.85,239.65,229,236.55,90800,725450,14
15,2022-04-19 10:30:00,NIFTY,NFO,Options,21-APR-22,Call,17000,236.45,244.7,229.1,230.8,121150,728950,15
16,2022-04-19 10:35:00,NIFTY,NFO,Options,21-APR-22,Call,17000,233.2,236.75,228.7,236.75,88350,725450,16
17,2022-04-19 10:40:00,NIFTY,NFO,Options,21-APR-22,Call,17000,236.7,245,235.35,243,100950,714050,17
18,2022-04-19 10:45:00,NIFTY,NFO,Options,21-APR-22,Call,17000,244.2,246,232.2,236.8,101400,713750,18
19,2022-04-19 10:50:00,NIFTY,NFO,Options,21-APR-22,Call,17000,236.85,239,230,233.6,61150,727350,19
20,2022-04-19 10:55:00,NIFTY,NFO,Options,21-APR-22,Call,17000,234.85,238.75,221.3,221.3,82650,743650,20
21,2022-04-19 11:00:00,NIFTY,NFO,Options,21-APR-22,Call,17000,218.3,234.65,218.3,232.8,116600,750350,21
22,2022-04-19 11:05:00,NIFTY,NFO,Options,21-APR-22,Call,17000,234,241.25,232.3,237.3,121650,730250,22
23,2022-04-19 11:10:00,NIFTY,NFO,Options,21-APR-22,Call,17000,235.5,244.25,234.55,244.25,119400,746300,23
24,2022-04-19 11:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,246.85,254.2,245.85,247.3,190550,728600,24
25,2022-04-19 11:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,247.3,262.4,243.8,258.1,196450,711300,25
26,2022-04-19 11:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,258.15,259.7,247.85,252,82300,713100,26
27,2022-04-19 11:30:00,NIFTY,NFO,Options,21-APR-22,Call,17000,252.7,258,241,254.9,94800,712850,27
28,2022-04-19 11:35:00,NIFTY,NFO,Options,21-APR-22,Call,17000,256.75,268.5,251.3,266.15,114300,719350,28
29,2022-04-19 11:40:00,NIFTY,NFO,Options,21-APR-22,Call,17000,267,268.7,259.25,267.25,118200,702500,29
30,2022-04-19 11:45:00,NIFTY,NFO,Options,21-APR-22,Call,17000,267.3,275.9,262.5,272.5,162750,687450,30
31,2022-04-19 11:50:00,NIFTY,NFO,Options,21-APR-22,Call,17000,272.15,279.65,266.3,275.75,121050,673100,31
32,2022-04-19 11:55:00,NIFTY,NFO,Options,21-APR-22,Call,17000,276.9,277.4,266.55,270.55,83450,666850,32
33,2022-04-19 12:00:00,NIFTY,NFO,Options,21-APR-22,Call,17000,269.3,274,259.25,262.05,103200,669750,33
34,2022-04-19 12:05:00,NIFTY,NFO,Options,21-APR-22,Call,17000,262.8,274,255.7,274,100650,677300,34
35,2022-04-19 12:10:00,NIFTY,NFO,Options,21-APR-22,Call,17000,273.3,274.8,267.65,273.9,79600,674800,35
36,2022-04-19 12:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,273.6,280.45,267.8,278.15,128250,667150,36
37,2022-04-19 12:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,277.55,283.6,271.55,275.5,118500,651050,37
38,2022-04-19 12:25:00,NIFTY,NFO,Options,21-APR-22,Call,17000,275.7,276.75,265,266.5,61900,644300,38
39,2022-04-19 12:30:00,NIFTY,NFO,Options,21-APR-22,Call,17000,264,269,256,267,126200,644200,39
40,2022-04-19 12:35:00,NIFTY,NFO,Options,21-APR-22,Call,17000,266.45,269,259,261,47100,648950,40
41,2022-04-19 12:40:00,NIFTY,NFO,Options,21-APR-22,Call,17000,260.4,260.4,242,246.75,142150,640300,41
42,2022-04-19 12:45:00,NIFTY,NFO,Options,21-APR-22,Call,17000,246.55,255,243.25,252.65,80350,649850,42
43,2022-04-19 12:50:00,NIFTY,NFO,Options,21-APR-22,Call,17000,254,254,239.3,246.4,84050,647350,43
44,2022-04-19 12:55:00,NIFTY,NFO,Options,21-APR-22,Call,17000,247.6,248,233.75,236.55,79400,645000,44
45,2022-04-19 13:00:00,NIFTY,NFO,Options,21-APR-22,Call,17000,237.4,244.1,231.05,236.4,106900,657250,45
46,2022-04-19 13:05:00,NIFTY,NFO,Options,21-APR-22,Call,17000,234.9,242.3,219.45,223.75,164750,666750,46
47,2022-04-19 13:10:00,NIFTY,NFO,Options,21-APR-22,Call,17000,220.55,226.5,214.45,224.1,181000,672600,47
48,2022-04-19 13:15:00,NIFTY,NFO,Options,21-APR-22,Call,17000,224.1,243.8,222.9,241.25,129350,680550,48
49,2022-04-19 13:20:00,NIFTY,NFO,Options,21-APR-22,Call,17000,243.05,260.4,241.7,258.65,206200,652000,49
