,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
1,264969,1035,INDIA VIX,INDIA VIX,0.0,,0.0,0.0,0,EQ,INDICES,NSE
2,260617,1018,NIFTY 100,NIFTY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
3,264457,1033,NIFTY 200,NIFTY 200,0.0,,0.0,0.0,0,EQ,INDICES,NSE
4,256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
5,268041,1047,NIFTY 500,NIFTY 500,0.0,,0.0,0.0,0,EQ,INDICES,NSE
6,265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
7,273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
8,263433,1029,NIFTY AUTO,NIFTY AUTO,0.0,,0.0,0.0,0,EQ,INDICES,NSE
9,260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
10,257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0.0,,0.0,0.0,0,EQ,INDICES,NSE
11,288777,1128,NIFTY CONSR DURBL,NIFTY CONSR DURBL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
12,257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE
13,268297,1048,NIFTY CPSE,NIFTY CPSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
14,257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
15,261641,1022,NIFTY ENERGY,NIFTY ENERGY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
16,257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
17,288265,1126,NIFTY FINSRV25 50,NIFTY FINSRV25 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
18,261897,1023,NIFTY FMCG,NIFTY FMCG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
19,270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
20,269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
21,269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0.0,,0.0,0.0,0,EQ,INDICES,NSE
22,269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
23,269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
24,268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
25,268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
26,270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
27,288521,1127,NIFTY HEALTHCARE,NIFTY HEALTHCARE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
28,291337,1138,NIFTY IND DIGITAL,NIFTY IND DIGITAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
29,291081,1137,NIFTY INDIA MFG,NIFTY INDIA MFG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
30,261385,1021,NIFTY INFRA,NIFTY INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
31,259849,1015,NIFTY IT,NIFTY IT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
32,289545,1131,NIFTY LARGEMID250,NIFTY LARGEMID250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
33,290825,1136,NIFTY M150 QLTY50,NIFTY M150 QLTY50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
34,263945,1031,NIFTY MEDIA,NIFTY MEDIA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
35,263689,1030,NIFTY METAL,NIFTY METAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
36,290569,1135,NIFTY MICROCAP250,NIFTY MICROCAP250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
37,270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
38,288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),0.0,,0.0,0.0,0,EQ,INDICES,NSE
39,256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
40,266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE
41,260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
42,266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0.0,,0.0,0.0,0,EQ,INDICES,NSE
43,262153,1024,NIFTY MNC,NIFTY MNC,0.0,,0.0,0.0,0,EQ,INDICES,NSE
44,270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
45,289033,1129,NIFTY OIL AND GAS,NIFTY OIL AND GAS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
46,262409,1025,NIFTY PHARMA,NIFTY PHARMA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
47,262665,1026,NIFTY PSE,NIFTY PSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
48,262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
49,271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
50,261129,1020,NIFTY REALTY,NIFTY REALTY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
51,263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
52,267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
53,267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
54,266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
55,290313,1134,NIFTY TOTAL MKT,NIFTY TOTAL MKT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
56,271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
57,291593,1139,NIFTY100 ESG,NIFTY100 ESG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
58,267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
59,272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
60,272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
61,289801,1132,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
62,265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
63,290057,1133,NIFTY200MOMENTM30,NIFTY200MOMENTM30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
64,265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
65,271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
66,259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
67,258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
68,259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
69,259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
70,267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0.0,,0.0,0.0,0,EQ,INDICES,NSE
71,289289,1130,NIFTY500 MULTICAP,NIFTY500 MULTICAP,0.0,,0.0,0.0,0,EQ,INDICES,NSE
72,1749249,6833,1018GS2026-GS,,0.0,,0.0,0.01,1,EQ,NSE,NSE
73,5762817,22511,182D010824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
74,5056001,19750,182D020524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
75,4914433,19197,182D040424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
76,5419777,21171,182D040724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
77,5888769,23003,182D050924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
78,5223425,20404,182D060624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
79,5792769,22628,182D080824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
80,5098241,19915,182D090524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
81,4989441,19490,182D110424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
82,5453569,21303,182D110724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
83,5915393,23107,182D120924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
84,5244417,20486,182D130624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
85,5813505,22709,182D150824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
86,5172225,20204,182D160524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
87,5006593,19557,182D180424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
88,5517569,21553,182D180724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
89,5944321,23220,182D190924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
90,5303809,20718,182D200624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
91,5827073,22762,182D220824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
92,5184769,20253,182D230524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
93,5024001,19625,182D250424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
94,5603841,21890,182D250724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
95,5979905,23359,182D260924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
96,5363457,20951,182D270624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
97,5858305,22884,182D290824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
98,5214721,20370,182D300524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
99,4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.05,1,EQ,NSE,NSE
100,1984001,7750,21STCENMGM-BE,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.05,1,EQ,NSE,NSE
101,3343617,13061,360ONE,360 ONE WAM,0.0,,0.0,0.05,1,EQ,NSE,NSE
102,4526849,17683,364D010824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
103,5420033,21172,364D020125-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
104,3926785,15339,364D020524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
105,4914689,19198,364D031024-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
106,3832065,14969,364D040424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
107,4385537,17131,364D040724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
108,4714497,18416,364D050924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
109,5223681,20405,364D051224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
110,5793025,22629,364D060225-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
111,5889281,23005,364D060325-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
112,4270337,16681,364D060624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
113,5102593,19932,364D071124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
114,4571649,17858,364D080824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
115,5454081,21305,364D090125-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
116,4020481,15705,364D090524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
117,4989697,19491,364D101024-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
118,3848961,15035,364D110424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
119,4419841,17265,364D110724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
120,4746753,18542,364D120924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
121,5244673,20487,364D121224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
122,5813761,22710,364D130225-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
123,5915649,23108,364D130325-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
124,4312833,16847,364D130624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
125,5172481,20205,364D141124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
126,5521921,21570,364D160125-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
127,4044545,15799,364D160524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
128,4636673,18112,364D160824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
129,5006849,19558,364D171024-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
130,3870721,15120,364D180424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
131,4436993,17332,364D180724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
132,4763393,18607,364D190924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
133,5304065,20719,364D191224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
134,5827329,22763,364D200225-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
135,5944577,23221,364D200325-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
136,4337153,16942,364D200624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
137,5185537,20256,364D211124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
138,4666369,18228,364D220824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
139,5619713,21952,364D230125-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
140,4127745,16124,364D230524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
141,5024257,19626,364D241024-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
142,3909889,15273,364D250424-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
143,4472321,17470,364D250724-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
144,5363713,20952,364D261224-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
145,5858561,22885,364D270225-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
146,5980161,23360,364D270325-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
147,4864769,19003,364D270924-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
148,4354305,17009,364D280624-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
149,5214977,20371,364D281124-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
150,4695041,18340,364D290824-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
151,5763073,22512,364D300125-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
152,4201473,16412,364D300524-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
153,5056257,19751,364D311024-TB,,0.0,,0.0,0.01,100,EQ,NSE,NSE
