date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
30-08-2022,01-09-2022,09:20,0.05,38000,38654.2,753.35,803.75,2022-08-01 14:09:00,53.95,1450.0,2022-07-28 09:44:00,-1446.4499999999998,,-1446.4499999999998
30-08-2022,01-09-2022,09:20,0.05,38500,38654.2,360.9,430.0,2022-07-29 09:29:00,159.2,520.0,2022-08-05 09:33:00,-429.90000000000003,,-429.90000000000003
01-09-2022,01-09-2022,09:20,0.05,39000,39110.15,304.75,500.0,2022-07-26 13:16:00,125.75,1100.55,2022-08-10 10:11:00,-1170.05,,-1170.05
01-09-2022,01-09-2022,09:20,0.05,39500,39110.15,69.8,178.0,2022-08-04 15:26:00,392.35,800.0,2022-08-02 14:47:00,-515.85,,-515.85
02-09-2022,08-09-2022,09:20,0.05,39000,39477.45,740.05,580.0,2022-08-10 15:20:00,277.15,715.2,2022-08-12 11:44:00,-278.0000000000001,,-278.0000000000001
02-09-2022,08-09-2022,09:20,0.05,39500,39477.45,446.0,515.1,2022-08-11 10:52:00,478.55,757.3,2022-08-16 09:20:00,-347.84999999999997,,-347.84999999999997
05-09-2022,08-09-2022,09:20,0.05,39000,39647.9,837.6,580.0,2022-08-10 15:20:00,166.15,715.2,2022-08-12 11:44:00,-291.45000000000005,,-291.45000000000005
05-09-2022,08-09-2022,09:20,0.05,39500,39647.9,489.25,515.1,2022-08-11 10:52:00,319.15,757.3,2022-08-16 09:20:00,-464.0,,-464.0
06-09-2022,08-09-2022,09:20,0.05,39000,39954.0,1022.05,580.0,2022-08-10 15:20:00,72.5,715.2,2022-08-12 11:44:00,-200.6500000000001,,-200.6500000000001
06-09-2022,08-09-2022,09:20,0.05,39500,39954.0,618.45,690.0,2022-08-16 09:22:00,169.35,757.3,2022-08-16 09:20:00,-659.4999999999999,,-659.4999999999999
07-09-2022,08-09-2022,09:20,0.05,39000,39428.15,557.55,594.0,2022-08-10 14:19:00,130.8,715.2,2022-08-12 11:44:00,-620.8500000000001,,-620.8500000000001
07-09-2022,08-09-2022,09:20,0.05,39500,39428.15,260.35,300.0,2022-08-08 15:11:00,329.1,757.3,2022-08-16 09:20:00,-467.8499999999999,,-467.8499999999999
08-09-2022,08-09-2022,09:20,0.05,39000,39790.15,779.9,580.0,2022-08-10 15:20:00,11.95,715.2,2022-08-12 11:44:00,-503.35,,-503.35
08-09-2022,08-09-2022,09:20,0.05,39500,39790.15,330.7,363.55,2022-08-10 13:28:00,62.05,757.3,2022-08-16 09:20:00,-728.1,,-728.1
09-09-2022,15-09-2022,09:20,0.05,40000,40526.6,753.2,265.0,2022-08-23 15:20:00,218.6,996.1,2022-08-18 10:04:00,-289.29999999999995,,-289.29999999999995
09-09-2022,15-09-2022,09:20,0.05,40500,40526.6,438.9,465.0,2022-08-17 15:18:00,405.95,1223.95,2022-09-01 11:46:00,-844.1,,-844.1
12-09-2022,15-09-2022,09:20,0.05,40000,40586.3,740.9,265.0,2022-08-23 15:20:00,162.8,996.1,2022-08-18 10:04:00,-357.4,,-357.4
12-09-2022,15-09-2022,09:20,0.05,40500,40586.3,414.05,435.45,2022-08-17 14:26:00,334.1,1223.95,2022-09-01 11:46:00,-911.25,,-911.25
13-09-2022,15-09-2022,09:20,0.05,40000,40732.3,836.5,265.0,2022-08-23 15:20:00,91.8,996.1,2022-08-18 10:04:00,-332.80000000000007,,-332.80000000000007
13-09-2022,15-09-2022,09:20,0.05,40500,40732.3,458.7,471.9,2022-08-17 15:20:00,217.5,1223.95,2022-09-01 11:46:00,-1019.6500000000001,,-1019.6500000000001
14-09-2022,15-09-2022,09:20,0.05,40000,40546.1,643.2,265.0,2022-08-23 15:20:00,104.1,996.1,2022-08-18 10:04:00,-513.8,,-513.8
14-09-2022,15-09-2022,09:20,0.05,40500,40546.1,300.3,435.45,2022-08-17 14:26:00,261.15,1223.95,2022-09-01 11:46:00,-1097.95,,-1097.95
15-09-2022,15-09-2022,09:20,0.05,41000,41701.4,788.0,122.2,2022-08-26 15:20:00,24.95,1750.45,2022-09-01 11:55:00,-1059.7,,-1059.7
15-09-2022,15-09-2022,09:20,0.05,41500,41701.4,351.15,85.0,2022-08-30 15:20:00,90.1,2249.5,2022-09-02 10:04:00,-1893.25,,-1893.25
16-09-2022,22-09-2022,09:20,0.05,41000,41073.45,522.6,250.0,2022-09-05 15:20:00,477.3,839.2,2022-09-09 09:20:00,-89.30000000000001,,-89.30000000000001
16-09-2022,22-09-2022,09:20,0.05,41500,41073.45,291.4,146.15,2022-09-05 15:20:00,742.7,1151.95,2022-09-09 09:20:00,-264.0,,-264.0
19-09-2022,22-09-2022,09:20,0.05,40000,40695.65,971.6,198.15,2022-08-29 15:20:00,182.9,1800.0,2022-08-29 09:46:00,-843.6499999999999,,-843.6499999999999
19-09-2022,22-09-2022,09:20,0.05,40500,40695.65,618.15,414.0,2022-09-05 15:20:00,344.55,900.0,2022-09-01 10:37:00,-351.30000000000007,,-351.30000000000007
20-09-2022,22-09-2022,09:20,0.05,41000,41364.35,627.15,250.0,2022-09-05 15:20:00,199.7,839.2,2022-09-09 09:20:00,-262.35,,-262.35
20-09-2022,22-09-2022,09:20,0.05,41500,41364.35,321.25,146.15,2022-09-05 15:20:00,396.75,1151.95,2022-09-09 09:20:00,-580.1,,-580.1
21-09-2022,22-09-2022,09:20,0.05,41000,41315.8,554.4,250.0,2022-09-05 15:20:00,200.7,839.2,2022-09-09 09:20:00,-334.1,,-334.1
21-09-2022,22-09-2022,09:20,0.05,41500,41315.8,272.7,146.15,2022-09-05 15:20:00,408.8,1151.95,2022-09-09 09:20:00,-616.6000000000001,,-616.6000000000001
22-09-2022,22-09-2022,09:20,0.05,40000,40962.1,1068.6,198.15,2022-08-29 15:20:00,18.5,1800.0,2022-08-29 09:46:00,-911.0500000000001,,-911.0500000000001
22-09-2022,22-09-2022,09:20,0.05,40500,40962.1,619.6,414.0,2022-09-05 15:20:00,67.4,900.0,2022-09-01 10:37:00,-627.0,,-627.0
23-09-2022,29-09-2022,09:20,0.05,40000,40291.1,667.2,100.05,2022-07-13 15:20:00,358.4,4860.0,2022-07-14 10:07:00,-3934.4500000000003,,-3934.4500000000003
23-09-2022,29-09-2022,09:20,0.05,40500,40291.1,398.65,136.75,2022-07-25 15:20:00,591.4,2992.5,2022-08-01 09:24:00,-2139.2,,-2139.2
26-09-2022,29-09-2022,09:20,0.05,38000,38863.25,1192.15,270.75,2022-07-14 15:20:00,181.5,4273.45,2022-07-01 15:15:00,-3170.5499999999997,,-3170.5499999999997
26-09-2022,29-09-2022,09:20,0.05,38500,38863.25,804.5,288.6,2022-07-19 15:20:00,309.05,3000.0,2022-07-19 11:43:00,-2175.0499999999997,,-2175.0499999999997
27-09-2022,29-09-2022,09:20,0.05,38000,38877.35,1054.0,270.75,2022-07-14 15:20:00,86.2,4273.45,2022-07-01 15:15:00,-3404.0,,-3404.0
27-09-2022,29-09-2022,09:20,0.05,38500,38877.35,671.15,288.6,2022-07-19 15:20:00,188.45,3000.0,2022-07-19 11:43:00,-2429.0,,-2429.0
28-09-2022,29-09-2022,09:20,0.05,37000,37903.35,1007.8,423.35,2022-07-04 15:20:00,63.2,3247.0,2022-07-01 15:25:00,-2599.3500000000004,,-2599.3500000000004
28-09-2022,29-09-2022,09:20,0.05,37500,37903.35,597.95,297.35,2022-07-01 15:20:00,157.7,2310.4,2022-07-11 14:56:00,-1852.1000000000004,,-1852.1000000000004
29-09-2022,29-09-2022,09:20,0.05,38000,38199.05,344.85,369.95,2022-07-08 09:21:00,73.0,4273.45,2022-07-01 15:15:00,-4225.55,,-4225.55
29-09-2022,29-09-2022,09:20,0.05,38500,38199.05,83.6,193.4,2022-07-05 12:04:00,314.5,3000.0,2022-07-19 11:43:00,-2795.3,,-2795.3
30-09-2022,06-10-2022,09:20,0.05,37000,37437.6,889.9,1951.0,2022-09-26 11:38:00,365.9,482.15,2022-09-02 10:21:00,-1177.35,,-1177.35
