date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
30-08-2022,01-09-2022,09:20,0.05,38000,38654.2,753.35,812.5,2022-08-30 09:32:00,53.95,22.45,2022-08-30 15:20:00,-27.649999999999974,,-27.649999999999974
30-08-2022,01-09-2022,09:20,0.05,38500,38654.2,360.9,381.95,2022-08-30 09:24:00,159.2,41.25,2022-08-30 15:20:00,96.89999999999998,96.89999999999998,
01-09-2022,01-09-2022,09:20,0.05,39000,39110.15,304.75,324.3,2022-09-01 09:23:00,125.75,140.85,2022-09-01 14:07:00,-34.650000000000006,,-34.650000000000006
01-09-2022,01-09-2022,09:20,0.05,39500,39110.15,69.8,78.6,2022-09-01 09:21:00,392.35,434.8,2022-09-01 13:55:00,-51.249999999999986,,-51.249999999999986
02-09-2022,08-09-2022,09:20,0.05,39000,39477.45,740.05,699.9,2022-09-02 15:20:00,277.15,296.55,2022-09-02 09:21:00,20.749999999999943,20.749999999999943,
02-09-2022,08-09-2022,09:20,0.05,39500,39477.45,446.0,392.5,2022-09-02 15:20:00,478.55,505.0,2022-09-02 09:21:00,27.05000000000001,27.05000000000001,
05-09-2022,08-09-2022,09:20,0.05,39000,39647.9,837.6,883.3,2022-09-05 09:31:00,166.15,119.2,2022-09-05 15:20:00,1.250000000000071,1.250000000000071,
05-09-2022,08-09-2022,09:20,0.05,39500,39647.9,489.25,518.65,2022-09-05 09:23:00,319.15,241.65,2022-09-05 15:20:00,48.099999999999994,48.099999999999994,
06-09-2022,08-09-2022,09:20,0.05,39000,39954.0,1022.05,808.0,2022-09-06 15:20:00,72.5,80.85,2022-09-06 09:23:00,205.69999999999996,205.69999999999996,
06-09-2022,08-09-2022,09:20,0.05,39500,39954.0,618.45,434.35,2022-09-06 15:20:00,169.35,184.8,2022-09-06 09:23:00,168.65,168.65,
07-09-2022,08-09-2022,09:20,0.05,39000,39428.15,557.55,589.1,2022-09-07 09:24:00,130.8,139.4,2022-09-07 09:30:00,-40.15000000000006,,-40.15000000000006
07-09-2022,08-09-2022,09:20,0.05,39500,39428.15,260.35,280.35,2022-09-07 09:24:00,329.1,362.25,2022-09-07 09:30:00,-53.14999999999998,,-53.14999999999998
08-09-2022,08-09-2022,09:20,0.05,39000,39790.15,779.9,833.25,2022-09-08 09:24:00,11.95,12.7,2022-09-08 09:21:00,-54.10000000000002,,-54.10000000000002
