date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
01-09-2022,01-09-2022,10:13,0.05,39500,39599.85,257.45,270.95,2022-09-01 10:15:00,141.7,161.25,2022-09-01 10:20:00,-33.05000000000001,,-33.05000000000001
08-09-2022,08-09-2022,10:13,0.05,39900,39922.6,158.45,170.6,2022-09-08 10:15:00,130.95,138.35,2022-09-08 10:42:00,-19.55000000000001,,-19.55000000000001
15-09-2022,15-09-2022,10:13,0.05,41300,41381.7,295.6,332.8,2022-09-15 10:15:00,152.5,169.5,2022-09-15 10:32:00,-54.19999999999999,,-54.19999999999999
22-09-2022,22-09-2022,10:13,0.05,40800,40866.05,234.35,0.2,2022-09-22 15:20:00,136.2,154.65,2022-09-22 10:15:00,215.7,215.7,
29-09-2022,29-09-2022,10:13,0.05,38000,38033.05,205.9,0.2,2022-09-29 15:20:00,147.75,155.35,2022-09-29 10:20:00,198.10000000000002,198.10000000000002,
06-10-2022,06-10-2022,10:13,0.05,39400,39474.9,176.4,187.05,2022-10-06 12:48:00,125.65,133.5,2022-10-06 10:18:00,-18.5,,-18.5
13-10-2022,13-10-2022,10:13,0.05,38700,38789.25,230.35,0.3,2022-10-13 15:20:00,100.45,123.05,2022-10-13 10:14:00,207.45,207.45,
20-10-2022,20-10-2022,10:13,0.05,39900,39995.95,188.7,221.6,2022-10-20 10:14:00,86.2,90.85,2022-10-20 10:31:00,-37.55,,-37.55
27-10-2022,27-10-2022,10:13,0.05,41300,41368.15,151.4,164.95,2022-10-27 10:17:00,95.7,109.35,2022-10-27 10:36:00,-27.199999999999974,,-27.199999999999974
03-11-2022,03-11-2022,10:13,0.05,41300,41332.25,163.9,192.95,2022-11-03 10:14:00,135.3,3.0,2022-11-03 15:20:00,103.25000000000003,103.25000000000003,
10-11-2022,10-11-2022,10:13,0.05,41500,41554.2,118.8,126.4,2022-11-10 10:20:00,73.85,78.6,2022-11-10 10:26:00,-12.350000000000009,,-12.350000000000009
17-11-2022,17-11-2022,10:13,0.05,42400,42471.55,127.3,136.2,2022-11-17 10:15:00,70.5,76.4,2022-11-17 11:28:00,-14.799999999999997,,-14.799999999999997
24-11-2022,24-11-2022,10:13,0.05,42900,42930.25,83.0,87.25,2022-11-24 10:25:00,68.4,0.2,2022-11-24 15:20:00,63.95,63.95,
01-12-2022,01-12-2022,10:13,0.05,43300,43371.05,134.4,142.3,2022-12-01 10:26:00,49.7,52.3,2022-12-01 10:17:00,-10.5,,-10.5
08-12-2022,08-12-2022,10:13,0.05,43300,43365.35,130.55,138.45,2022-12-08 10:17:00,76.15,80.5,2022-12-08 10:22:00,-12.249999999999972,,-12.249999999999972
15-12-2022,15-12-2022,10:13,0.05,44000,44033.25,99.25,104.7,2022-12-15 10:17:00,72.15,78.2,2022-12-15 11:29:00,-11.5,,-11.5
22-12-2022,22-12-2022,10:13,0.05,42500,42533.55,169.1,179.25,2022-12-22 14:21:00,164.8,198.0,2022-12-22 10:14:00,-43.349999999999994,,-43.349999999999994
29-12-2022,29-12-2022,10:13,0.05,42500,42531.2,125.4,132.9,2022-12-29 10:15:00,105.05,0.25,2022-12-29 15:20:00,97.3,97.3,
05-01-2023,05-01-2023,10:13,0.05,42700,42776.45,202.0,240.25,2023-01-05 10:14:00,95.85,111.25,2023-01-05 10:57:00,-53.650000000000006,,-53.650000000000006
12-01-2023,12-01-2023,10:13,0.05,42100,42118.85,168.2,1.4,2023-01-12 15:20:00,132.75,151.8,2023-01-12 10:15:00,147.74999999999997,147.74999999999997,
19-01-2023,19-01-2023,10:13,0.05,42300,42370.0,156.05,168.0,2023-01-19 10:21:00,106.75,113.95,2023-01-19 11:22:00,-19.14999999999999,,-19.14999999999999
25-01-2023,25-01-2023,10:13,0.05,42100,42110.4,132.85,142.95,2023-01-25 10:17:00,163.65,175.55,2023-01-25 10:29:00,-22.0,,-22.0
02-02-2023,02-02-2023,10:13,0.05,40400,40429.45,239.7,252.75,2023-02-02 10:16:00,259.05,273.7,2023-02-02 10:22:00,-27.69999999999999,,-27.69999999999999
09-02-2023,09-02-2023,10:13,0.05,41400,41401.35,132.4,151.6,2023-02-09 13:49:00,119.1,129.0,2023-02-09 10:15:00,-29.099999999999994,,-29.099999999999994
