date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
01-09-2022,01-09-2022,10:29,0.05,39700,39637.85,161.5,0.3,2022-09-01 15:20:00,204.8,217.35,2022-09-01 10:30:00,148.65,148.65,
08-09-2022,08-09-2022,10:29,0.05,40000,39942.75,114.65,121.5,2022-09-08 11:43:00,176.95,192.15,2022-09-08 10:42:00,-22.05000000000001,,-22.05000000000001
15-09-2022,15-09-2022,10:29,0.05,41500,41401.3,166.85,0.25,2022-09-15 15:20:00,219.25,249.3,2022-09-15 10:30:00,136.54999999999998,136.54999999999998,
22-09-2022,22-09-2022,10:29,0.05,40900,40834.0,114.25,120.7,2022-09-22 10:51:00,263.25,276.85,2022-09-22 10:30:00,-20.050000000000026,,-20.050000000000026
29-09-2022,29-09-2022,10:29,0.05,38100,38007.5,123.4,133.0,2022-09-29 10:35:00,228.75,241.15,2022-09-29 10:30:00,-22.0,,-22.0
06-10-2022,06-10-2022,10:29,0.05,39500,39431.7,114.65,120.45,2022-10-06 10:31:00,171.15,182.0,2022-10-06 10:34:00,-16.64999999999999,,-16.64999999999999
13-10-2022,13-10-2022,10:29,0.05,38800,38725.1,117.1,126.55,2022-10-13 10:44:00,218.3,233.5,2022-10-13 10:32:00,-24.64999999999999,,-24.64999999999999
20-10-2022,20-10-2022,10:29,0.05,40000,39990.05,123.9,136.6,2022-10-20 10:47:00,122.6,134.6,2022-10-20 10:30:00,-24.69999999999999,,-24.69999999999999
27-10-2022,27-10-2022,10:29,0.05,41400,41397.4,105.7,0.45,2022-10-27 15:20:00,123.55,134.0,2022-10-27 10:32:00,94.8,94.8,
03-11-2022,03-11-2022,10:29,0.05,41500,41408.65,88.6,0.1,2022-11-03 15:20:00,202.45,213.3,2022-11-03 10:32:00,77.64999999999998,77.64999999999998,
10-11-2022,10-11-2022,10:29,0.05,41600,41522.55,59.5,4.3,2022-11-10 15:20:00,135.1,146.05,2022-11-10 10:32:00,44.249999999999986,44.249999999999986,
