date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
06-06-2019,06-06-2019,09:20,0.2,31500,31468.35,124.4,0.25,2019-06-06 15:20:00,113.35,140.25,2019-06-06 09:33:00,97.25,97.25,
13-06-2019,13-06-2019,09:20,0.2,31000,30927.4,46.15,0.35,2019-06-13 15:20:00,141.8,181.9,2019-06-13 09:33:00,5.700000000000003,5.700000000000003,
20-06-2019,20-06-2019,09:20,0.2,30300,30287.25,83.65,106.7,2019-06-20 09:40:00,115.1,0.1,2019-06-20 15:20:00,91.95,91.95,
27-06-2019,27-06-2019,09:20,0.2,31300,31278.35,88.5,112.2,2019-06-27 10:16:00,91.0,112.45,2019-06-27 09:26:00,-45.150000000000006,,-45.150000000000006
04-07-2019,04-07-2019,09:20,0.2,31500,31496.7,83.15,101.8,2019-07-04 09:25:00,96.7,10.25,2019-07-04 15:20:00,67.80000000000001,67.80000000000001,
11-07-2019,11-07-2019,09:20,0.2,30700,30650.65,63.0,90.9,2019-07-11 14:22:00,95.7,115.7,2019-07-11 09:27:00,-47.900000000000006,,-47.900000000000006
18-07-2019,18-07-2019,09:20,0.2,30800,30756.1,35.4,0.1,2019-07-18 15:20:00,120.0,148.9,2019-07-18 09:31:00,6.3999999999999915,6.3999999999999915,
25-07-2019,25-07-2019,09:20,0.2,29100,29060.05,90.75,110.7,2019-07-25 09:33:00,90.75,131.8,2019-07-25 12:12:00,-61.000000000000014,,-61.000000000000014
01-08-2019,01-08-2019,09:20,0.2,28800,28744.65,70.15,88.7,2019-08-01 09:32:00,138.2,172.75,2019-08-01 10:25:00,-53.10000000000001,,-53.10000000000001
08-08-2019,08-08-2019,09:20,0.2,27800,27775.5,98.45,123.2,2019-08-08 14:29:00,116.0,170.65,2019-08-08 09:30:00,-79.4,,-79.4
14-08-2019,14-08-2019,09:20,0.2,27800,27768.1,117.25,157.5,2019-08-14 09:23:00,143.25,0.05,2019-08-14 15:20:00,102.94999999999999,102.94999999999999,
22-08-2019,22-08-2019,09:20,0.2,27600,27590.9,115.75,0.1,2019-08-22 15:20:00,111.8,134.25,2019-08-22 09:50:00,93.2,93.2,
29-08-2019,29-08-2019,09:20,0.2,27700,27643.3,112.85,0.05,2019-08-29 15:20:00,131.7,163.45,2019-08-29 09:24:00,81.05,81.05,
05-09-2019,05-09-2019,09:20,0.2,27300,27229.65,102.9,0.05,2019-09-05 15:20:00,148.1,187.35,2019-09-05 09:28:00,63.60000000000001,63.60000000000001,
12-09-2019,12-09-2019,09:20,0.2,28000,27912.35,54.4,66.6,2019-09-12 09:32:00,149.5,184.35,2019-09-12 15:11:00,-47.04999999999999,,-47.04999999999999
19-09-2019,19-09-2019,09:20,0.2,27100,27030.15,71.75,0.1,2019-09-19 15:20:00,199.45,241.2,2019-09-19 09:30:00,29.900000000000006,29.900000000000006,
26-09-2019,26-09-2019,09:20,0.2,29800,29783.85,147.6,182.65,2019-09-26 09:25:00,146.05,0.15,2019-09-26 15:20:00,110.85,110.85,
03-10-2019,03-10-2019,09:20,0.2,28400,28355.75,214.2,326.55,2019-10-03 09:26:00,297.6,0.7,2019-10-03 15:20:00,184.55,184.55,
10-10-2019,10-10-2019,09:20,0.2,28500,28481.35,188.2,0.1,2019-10-10 15:20:00,162.45,227.55,2019-10-10 09:26:00,122.99999999999997,122.99999999999997,
17-10-2019,17-10-2019,09:20,0.2,28700,28631.75,158.15,190.45,2019-10-17 13:13:00,166.75,202.0,2019-10-17 09:25:00,-67.54999999999998,,-67.54999999999998
24-10-2019,24-10-2019,09:20,0.2,29700,29660.5,133.45,0.1,2019-10-24 15:20:00,171.5,277.4,2019-10-24 09:58:00,27.450000000000017,27.450000000000017,
31-10-2019,31-10-2019,09:20,0.2,30200,30146.95,99.0,128.7,2019-10-31 09:22:00,195.1,134.8,2019-10-31 15:20:00,30.599999999999994,30.599999999999994,
