date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
06-06-2019,06-06-2019,13:50,0.2,30900,30901.8,64.2,90.1,2019-06-06 13:53:00,44.6,54.0,2019-06-06 14:18:00,-35.29999999999999,,-35.29999999999999
13-06-2019,13-06-2019,13:50,0.2,30700,30763.6,82.7,102.6,2019-06-13 13:54:00,28.1,0.1,2019-06-13 15:20:00,8.100000000000009,8.100000000000009,
20-06-2019,20-06-2019,13:50,0.2,30500,30572.85,102.8,124.0,2019-06-20 14:00:00,31.75,0.05,2019-06-20 15:20:00,10.499999999999996,10.499999999999996,
27-06-2019,27-06-2019,13:50,0.2,31300,31348.55,82.7,100.45,2019-06-27 13:53:00,48.45,62.3,2019-06-27 14:03:00,-31.599999999999994,,-31.599999999999994
04-07-2019,04-07-2019,13:50,0.2,31500,31562.4,104.6,0.25,2019-07-04 15:20:00,32.0,43.2,2019-07-04 13:59:00,93.14999999999999,93.14999999999999,
11-07-2019,11-07-2019,13:50,0.2,30700,30729.0,53.8,90.9,2019-07-11 14:22:00,40.6,49.75,2019-07-11 13:56:00,-46.25000000000001,,-46.25000000000001
18-07-2019,18-07-2019,13:50,0.2,30500,30500.0,36.2,44.0,2019-07-18 14:29:00,37.1,53.65,2019-07-18 15:12:00,-24.349999999999994,,-24.349999999999994
25-07-2019,25-07-2019,13:50,0.2,29000,29051.35,75.55,93.95,2019-07-25 14:22:00,33.25,40.95,2019-07-25 13:51:00,-26.10000000000001,,-26.10000000000001
01-08-2019,01-08-2019,13:50,0.2,28300,28367.4,91.35,110.4,2019-08-01 13:54:00,16.15,24.95,2019-08-01 14:00:00,-27.850000000000012,,-27.850000000000012
08-08-2019,08-08-2019,13:50,0.2,27700,27737.95,103.25,133.55,2019-08-08 14:06:00,49.05,62.05,2019-08-08 14:12:00,-43.30000000000001,,-43.30000000000001
14-08-2019,14-08-2019,13:50,0.2,28000,28056.9,92.1,113.6,2019-08-14 14:00:00,65.3,93.0,2019-08-14 14:37:00,-49.2,,-49.2
22-08-2019,22-08-2019,13:50,0.2,27400,27406.05,65.7,0.05,2019-08-22 15:20:00,77.7,93.35,2019-08-22 13:59:00,50.000000000000014,50.000000000000014,
29-08-2019,29-08-2019,13:50,0.2,27400,27417.75,97.1,123.85,2019-08-29 13:56:00,79.8,102.55,2019-08-29 13:52:00,-49.5,,-49.5
05-09-2019,05-09-2019,13:50,0.2,26900,26916.6,86.55,106.3,2019-09-05 14:27:00,65.2,87.95,2019-09-05 14:04:00,-42.5,,-42.5
12-09-2019,12-09-2019,13:50,0.2,27900,27957.85,100.4,0.15,2019-09-12 15:20:00,23.65,29.4,2019-09-12 13:51:00,94.5,94.5,
19-09-2019,19-09-2019,13:50,0.2,26700,26768.95,116.0,69.2,2019-09-19 15:20:00,36.0,43.2,2019-09-19 13:57:00,39.599999999999994,39.599999999999994,
26-09-2019,26-09-2019,13:50,0.2,30000,30020.5,130.5,176.0,2019-09-26 14:31:00,112.0,6.55,2019-09-26 15:20:00,59.95,59.95,
03-10-2019,03-10-2019,13:50,0.2,28300,28387.15,130.05,171.45,2019-10-03 13:55:00,62.25,0.15,2019-10-03 15:20:00,20.700000000000024,20.700000000000024,
10-10-2019,10-10-2019,13:50,0.2,28000,28031.4,103.5,126.4,2019-10-10 13:54:00,60.15,83.95,2019-10-10 14:32:00,-46.70000000000001,,-46.70000000000001
17-10-2019,17-10-2019,13:50,0.2,28900,28999.8,140.55,92.5,2019-10-17 15:20:00,35.35,0.3,2019-10-17 15:20:00,83.10000000000002,83.10000000000002,
24-10-2019,24-10-2019,13:50,0.2,29000,29078.95,121.1,159.0,2019-10-24 13:59:00,53.85,0.3,2019-10-24 15:20:00,15.649999999999999,15.649999999999999,
31-10-2019,31-10-2019,13:50,0.2,30300,30343.25,65.05,89.75,2019-10-31 13:54:00,65.55,90.35,2019-10-31 14:48:00,-49.5,,-49.5
07-11-2019,07-11-2019,13:50,0.2,30600,30640.25,72.1,97.2,2019-11-07 13:59:00,70.95,0.7,2019-11-07 15:20:00,45.14999999999999,45.14999999999999,
14-11-2019,14-11-2019,13:50,0.2,30500,30569.9,94.5,131.45,2019-11-14 13:53:00,38.95,0.15,2019-11-14 15:20:00,1.8500000000000156,1.8500000000000156,
21-11-2019,21-11-2019,13:50,0.2,31400,31410.15,60.75,75.15,2019-11-21 14:01:00,70.5,52.65,2019-11-21 15:20:00,3.4499999999999957,3.4499999999999957,
28-11-2019,28-11-2019,13:50,0.2,32000,32061.0,95.45,124.35,2019-11-28 15:01:00,35.45,42.95,2019-11-28 13:56:00,-36.39999999999999,,-36.39999999999999
05-12-2019,05-12-2019,13:50,0.2,31900,31949.0,62.85,0.15,2019-12-05 15:20:00,41.8,52.5,2019-12-05 13:51:00,52.0,52.0,
12-12-2019,12-12-2019,13:50,0.2,31500,31513.7,47.7,60.1,2019-12-12 14:02:00,56.45,0.1,2019-12-12 15:20:00,43.95,43.95,
19-12-2019,19-12-2019,13:50,0.2,32200,32262.2,88.95,41.25,2019-12-19 15:20:00,25.25,32.4,2019-12-19 13:56:00,40.550000000000004,40.550000000000004,
26-12-2019,26-12-2019,13:50,0.2,32000,32064.4,72.4,4.4,2019-12-26 15:20:00,19.5,27.8,2019-12-26 14:13:00,59.7,59.7,
02-01-2020,02-01-2020,13:50,0.2,32300,32311.1,38.45,46.35,2020-01-02 14:04:00,30.6,0.2,2020-01-02 15:20:00,22.500000000000004,22.500000000000004,
09-01-2020,09-01-2020,13:50,0.2,32100,32111.25,58.2,2.5,2020-01-09 15:20:00,52.8,65.0,2020-01-09 13:51:00,43.5,43.5,
16-01-2020,16-01-2020,13:50,0.2,31800,31880.65,103.3,133.6,2020-01-16 13:58:00,14.95,0.25,2020-01-16 15:20:00,-15.599999999999998,,-15.599999999999998
23-01-2020,23-01-2020,13:50,0.2,31000,31002.1,45.15,62.5,2020-01-23 14:39:00,32.6,40.8,2020-01-23 13:52:00,-25.549999999999997,,-25.549999999999997
30-01-2020,30-01-2020,13:50,0.2,30600,30609.85,43.8,54.25,2020-01-30 13:58:00,64.15,84.65,2020-01-30 14:08:00,-30.950000000000003,,-30.950000000000003
06-02-2020,06-02-2020,13:50,0.2,31400,31441.5,38.55,0.15,2020-02-06 15:20:00,37.4,44.95,2020-02-06 13:53:00,30.849999999999994,30.849999999999994,
13-02-2020,13-02-2020,13:50,0.2,31100,31190.05,109.3,134.65,2020-02-13 14:21:00,8.3,0.05,2020-02-13 15:20:00,-17.10000000000001,,-17.10000000000001
20-02-2020,20-02-2020,13:50,0.2,30900,30995.65,96.6,118.75,2020-02-20 14:18:00,13.25,17.1,2020-02-20 13:56:00,-26.000000000000007,,-26.000000000000007
27-02-2020,27-02-2020,13:50,0.2,30000,30042.8,63.95,82.25,2020-02-27 14:31:00,36.9,45.15,2020-02-27 13:52:00,-26.549999999999997,,-26.549999999999997
05-03-2020,05-03-2020,13:50,0.2,28800,28833.0,68.4,85.4,2020-03-05 13:52:00,74.9,1.4,2020-03-05 15:20:00,56.5,56.5,
12-03-2020,12-03-2020,13:50,0.2,24600,24636.95,115.55,0.6,2020-03-12 15:20:00,143.4,196.65,2020-03-12 13:55:00,61.7,61.7,
19-03-2020,19-03-2020,13:50,0.2,20300,20360.75,333.65,437.4,2020-03-19 13:51:00,210.5,283.4,2020-03-19 15:00:00,-176.64999999999998,,-176.64999999999998
26-03-2020,26-03-2020,13:50,0.2,19400,19475.45,217.85,266.6,2020-03-26 14:53:00,295.2,424.5,2020-03-26 14:01:00,-178.05000000000004,,-178.05000000000004
01-04-2020,01-04-2020,13:50,0.2,18100,18184.7,138.7,111.45,2020-04-01 15:20:00,115.7,151.5,2020-04-01 14:00:00,-8.550000000000011,,-8.550000000000011
