date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
02-06-2022,02-06-2022,09:34,0.05,35600,35511.25,122.75,131.0,2022-06-02 09:52:00,172.55,182.9,2022-06-02 09:36:00,-18.599999999999994,,-18.599999999999994
09-06-2022,09-06-2022,09:34,0.05,34700,34699.55,126.1,133.8,2022-06-09 09:37:00,111.6,124.3,2022-06-09 10:15:00,-20.40000000000002,,-20.40000000000002
16-06-2022,16-06-2022,09:34,0.05,33700,33657.35,108.8,0.15,2022-06-16 15:20:00,131.7,141.8,2022-06-16 09:35:00,98.54999999999997,98.54999999999997,
23-06-2022,23-06-2022,09:34,0.05,33200,33136.8,126.25,152.05,2022-06-23 09:43:00,166.75,176.85,2022-06-23 09:39:00,-35.900000000000006,,-35.900000000000006
30-06-2022,30-06-2022,09:34,0.05,33500,33450.1,132.9,157.0,2022-06-30 09:35:00,188.2,205.55,2022-06-30 10:15:00,-41.45000000000002,,-41.45000000000002
07-07-2022,07-07-2022,09:34,0.05,34700,34627.75,97.4,105.4,2022-07-07 09:35:00,180.2,191.1,2022-07-07 09:44:00,-18.900000000000006,,-18.900000000000006
14-07-2022,14-07-2022,09:34,0.05,34900,34857.4,156.1,165.55,2022-07-14 09:49:00,127.3,134.5,2022-07-14 09:37:00,-16.65000000000002,,-16.65000000000002
21-07-2022,21-07-2022,09:34,0.05,36100,36049.25,103.0,109.9,2022-07-21 09:36:00,155.2,0.15,2022-07-21 15:20:00,148.14999999999998,148.14999999999998,
28-07-2022,28-07-2022,09:34,0.05,37200,37185.5,113.95,122.25,2022-07-28 09:47:00,148.7,161.05,2022-07-28 09:36:00,-20.65000000000002,,-20.65000000000002
04-08-2022,04-08-2022,09:34,0.05,38100,38090.85,148.0,158.35,2022-08-04 09:52:00,125.2,132.85,2022-08-04 09:36:00,-17.999999999999986,,-17.999999999999986
11-08-2022,11-08-2022,09:34,0.05,38800,38734.65,78.75,82.8,2022-08-11 09:40:00,157.3,165.95,2022-08-11 09:36:00,-12.699999999999974,,-12.699999999999974
18-08-2022,18-08-2022,09:34,0.05,39500,39400.8,70.45,77.4,2022-08-18 09:35:00,181.9,202.75,2022-08-18 12:00:00,-27.799999999999997,,-27.799999999999997
25-08-2022,25-08-2022,09:34,0.05,39400,39335.15,95.2,102.6,2022-08-25 10:00:00,159.2,169.2,2022-08-25 09:40:00,-17.39999999999999,,-17.39999999999999
02-06-2022,02-06-2022,09:34,0.06,35600,35511.25,122.75,131.0,2022-06-02 09:52:00,172.55,196.4,2022-06-02 09:40:00,-32.099999999999994,,-32.099999999999994
09-06-2022,09-06-2022,09:34,0.06,34700,34699.55,126.1,133.8,2022-06-09 09:37:00,111.6,124.3,2022-06-09 10:15:00,-20.40000000000002,,-20.40000000000002
16-06-2022,16-06-2022,09:34,0.06,33700,33657.35,108.8,0.15,2022-06-16 15:20:00,131.7,141.8,2022-06-16 09:35:00,98.54999999999997,98.54999999999997,
23-06-2022,23-06-2022,09:34,0.06,33200,33136.8,126.25,152.05,2022-06-23 09:43:00,166.75,176.85,2022-06-23 09:39:00,-35.900000000000006,,-35.900000000000006
30-06-2022,30-06-2022,09:34,0.06,33500,33450.1,132.9,157.0,2022-06-30 09:35:00,188.2,205.55,2022-06-30 10:15:00,-41.45000000000002,,-41.45000000000002
07-07-2022,07-07-2022,09:34,0.06,34700,34627.75,97.4,105.4,2022-07-07 09:35:00,180.2,191.1,2022-07-07 09:44:00,-18.900000000000006,,-18.900000000000006
14-07-2022,14-07-2022,09:34,0.06,34900,34857.4,156.1,165.55,2022-07-14 09:49:00,127.3,136.05,2022-07-14 10:24:00,-18.20000000000003,,-18.20000000000003
21-07-2022,21-07-2022,09:34,0.06,36100,36049.25,103.0,109.9,2022-07-21 09:36:00,155.2,0.15,2022-07-21 15:20:00,148.14999999999998,148.14999999999998,
28-07-2022,28-07-2022,09:34,0.06,37200,37185.5,113.95,122.25,2022-07-28 09:47:00,148.7,161.05,2022-07-28 09:36:00,-20.65000000000002,,-20.65000000000002
04-08-2022,04-08-2022,09:34,0.06,38100,38090.85,148.0,158.35,2022-08-04 09:52:00,125.2,132.85,2022-08-04 09:36:00,-17.999999999999986,,-17.999999999999986
11-08-2022,11-08-2022,09:34,0.06,38800,38734.65,78.75,83.7,2022-08-11 09:41:00,157.3,168.35,2022-08-11 09:37:00,-15.999999999999986,,-15.999999999999986
18-08-2022,18-08-2022,09:34,0.06,39500,39400.8,70.45,77.4,2022-08-18 09:35:00,181.9,202.75,2022-08-18 12:00:00,-27.799999999999997,,-27.799999999999997
25-08-2022,25-08-2022,09:34,0.06,39400,39335.15,95.2,102.6,2022-08-25 10:00:00,159.2,169.2,2022-08-25 09:40:00,-17.39999999999999,,-17.39999999999999
02-06-2022,02-06-2022,09:34,0.07,35600,35511.25,122.75,138.0,2022-06-02 09:54:00,172.55,196.4,2022-06-02 09:40:00,-39.099999999999994,,-39.099999999999994
09-06-2022,09-06-2022,09:34,0.07,34700,34699.55,126.1,138.8,2022-06-09 09:38:00,111.6,124.3,2022-06-09 10:15:00,-25.40000000000002,,-25.40000000000002
16-06-2022,16-06-2022,09:34,0.07,33700,33657.35,108.8,0.15,2022-06-16 15:20:00,131.7,141.8,2022-06-16 09:35:00,98.54999999999997,98.54999999999997,
23-06-2022,23-06-2022,09:34,0.07,33200,33136.8,126.25,152.05,2022-06-23 09:43:00,166.75,181.2,2022-06-23 09:41:00,-40.25,,-40.25
30-06-2022,30-06-2022,09:34,0.07,33500,33450.1,132.9,157.0,2022-06-30 09:35:00,188.2,205.55,2022-06-30 10:15:00,-41.45000000000002,,-41.45000000000002
07-07-2022,07-07-2022,09:34,0.07,34700,34627.75,97.4,105.4,2022-07-07 09:35:00,180.2,197.8,2022-07-07 09:46:00,-25.600000000000023,,-25.600000000000023
14-07-2022,14-07-2022,09:34,0.07,34900,34857.4,156.1,175.0,2022-07-14 09:52:00,127.3,162.65,2022-07-14 10:26:00,-54.250000000000014,,-54.250000000000014
21-07-2022,21-07-2022,09:34,0.07,36100,36049.25,103.0,118.35,2022-07-21 09:40:00,155.2,0.15,2022-07-21 15:20:00,139.7,139.7,
