date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
02-06-2022,02-06-2022,09:39,0.05,35500,35570.8,162.4,172.2,2022-06-02 09:51:00,124.65,139.3,2022-06-02 09:40:00,-24.44999999999999,,-24.44999999999999
09-06-2022,09-06-2022,09:39,0.05,34700,34743.5,128.65,140.0,2022-06-09 09:44:00,105.4,124.3,2022-06-09 10:15:00,-30.249999999999986,,-30.249999999999986
16-06-2022,16-06-2022,09:39,0.05,33600,33626.4,142.35,0.15,2022-06-16 15:20:00,109.35,122.35,2022-06-16 09:41:00,129.2,129.2,
23-06-2022,23-06-2022,09:39,0.05,33100,33163.0,162.85,172.7,2022-06-23 09:42:00,124.75,141.9,2022-06-23 12:21:00,-27.0,,-27.0
30-06-2022,30-06-2022,09:39,0.05,33500,33555.7,188.1,221.6,2022-06-30 09:40:00,139.55,147.45,2022-06-30 09:50:00,-41.39999999999998,,-41.39999999999998
07-07-2022,07-07-2022,09:39,0.05,34600,34647.15,143.45,161.45,2022-07-07 10:35:00,126.1,135.55,2022-07-07 09:44:00,-27.450000000000017,,-27.450000000000017
14-07-2022,14-07-2022,09:39,0.05,34900,34908.8,148.85,165.55,2022-07-14 09:49:00,133.3,162.65,2022-07-14 10:26:00,-46.05000000000001,,-46.05000000000001
21-07-2022,21-07-2022,09:39,0.05,36000,36044.65,161.05,173.2,2022-07-21 09:40:00,99.3,0.1,2022-07-21 15:20:00,87.05000000000003,87.05000000000003,
28-07-2022,28-07-2022,09:39,0.05,37100,37144.25,157.75,182.0,2022-07-28 09:47:00,112.15,117.9,2022-07-28 09:44:00,-30.0,,-30.0
04-08-2022,04-08-2022,09:39,0.05,38000,38082.9,180.25,203.05,2022-08-04 09:41:00,102.35,108.35,2022-08-04 10:28:00,-28.80000000000001,,-28.80000000000001
11-08-2022,11-08-2022,09:39,0.05,38700,38714.25,127.65,146.75,2022-08-11 09:42:00,106.2,0.3,2022-08-11 15:20:00,86.80000000000001,86.80000000000001,
18-08-2022,18-08-2022,09:39,0.05,39400,39430.5,161.35,174.3,2022-08-18 09:41:00,93.2,104.1,2022-08-18 11:56:00,-23.85000000000001,,-23.85000000000001
25-08-2022,25-08-2022,09:39,0.05,39300,39326.15,145.8,157.9,2022-08-25 10:00:00,108.85,117.35,2022-08-25 09:40:00,-20.599999999999994,,-20.599999999999994
02-06-2022,02-06-2022,09:39,0.06,35500,35570.8,162.4,172.2,2022-06-02 09:51:00,124.65,139.3,2022-06-02 09:40:00,-24.44999999999999,,-24.44999999999999
09-06-2022,09-06-2022,09:39,0.06,34700,34743.5,128.65,140.0,2022-06-09 09:44:00,105.4,124.3,2022-06-09 10:15:00,-30.249999999999986,,-30.249999999999986
16-06-2022,16-06-2022,09:39,0.06,33600,33626.4,142.35,0.15,2022-06-16 15:20:00,109.35,122.35,2022-06-16 09:41:00,129.2,129.2,
23-06-2022,23-06-2022,09:39,0.06,33100,33163.0,162.85,172.7,2022-06-23 09:42:00,124.75,141.9,2022-06-23 12:21:00,-27.0,,-27.0
