date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss,call_profit,put_profit
02-06-2022,02-06-2022,10:20,0.3,35500,35572.8,171.6,114.0,2022-06-02 11:03:00,121.0,145.7,2022-06-02 10:53:00,32.900000000000006,32.900000000000006,,,20.41322314049586
09-06-2022,09-06-2022,10:20,0.3,34600,34695.3,187.8,226.3,2022-06-09 10:47:00,54.7,37.5,2022-06-09 10:30:00,-21.299999999999997,,-21.299999999999997,20.50053248136315,
16-06-2022,16-06-2022,10:20,0.3,33500,33560.45,174.4,120.65,2022-06-16 10:43:00,86.4,103.7,2022-06-16 10:39:00,36.45,36.45,,,20.02314814814814
23-06-2022,23-06-2022,10:20,0.3,33400,33405.0,131.05,77.5,2022-06-23 11:32:00,150.55,249.6,2022-06-23 15:15:00,-45.49999999999997,,-45.49999999999997,,
30-06-2022,30-06-2022,10:20,0.3,33300,33383.05,206.05,247.95,2022-06-30 13:48:00,133.8,82.2,2022-06-30 10:45:00,9.700000000000031,9.700000000000031,,20.334870177141458,
07-07-2022,07-07-2022,10:20,0.3,34600,34627.4,133.4,161.0,2022-07-07 10:36:00,123.95,85.9,2022-07-07 10:45:00,10.450000000000003,10.450000000000003,,20.689655172413786,
14-07-2022,14-07-2022,10:20,0.3,34900,34941.3,153.85,99.9,2022-07-14 10:26:00,107.55,245.65,2022-07-14 15:15:00,-84.15000000000003,,-84.15000000000003,,
21-07-2022,21-07-2022,10:20,0.3,36100,36120.1,113.0,136.7,2022-07-21 13:13:00,118.5,82.2,2022-07-21 11:19:00,12.600000000000009,12.600000000000009,,20.97345132743362,
28-07-2022,28-07-2022,10:20,0.3,37200,37249.4,149.6,91.9,2022-07-28 14:41:00,81.95,50.5,2022-07-28 11:14:00,89.14999999999999,89.14999999999999,,,
04-08-2022,04-08-2022,10:20,0.3,38000,38075.95,176.5,119.1,2022-08-04 10:42:00,85.85,236.35,2022-08-04 15:15:00,-93.1,,-93.1,,
11-08-2022,11-08-2022,10:20,0.3,38800,38842.0,137.6,95.85,2022-08-11 11:38:00,103.55,71.95,2022-08-11 12:00:00,73.35,73.35,,,
18-08-2022,18-08-2022,10:20,0.3,39500,39577.8,156.75,109.4,2022-08-18 11:14:00,76.05,91.85,2022-08-18 10:31:00,31.549999999999997,31.549999999999997,,,20.77580539119
25-08-2022,25-08-2022,10:20,0.3,39200,39289.8,202.65,141.8,2022-08-25 11:27:00,64.3,39.85,2022-08-25 11:46:00,85.29999999999998,85.29999999999998,,,
01-09-2022,01-09-2022,10:20,0.3,39600,39615.65,164.5,198.1,2022-09-01 10:23:00,205.95,249.0,2022-09-01 10:39:00,-76.65,,-76.65,20.425531914893615,20.903131828113626
08-09-2022,08-09-2022,10:20,0.3,39900,39970.4,183.75,125.6,2022-09-08 10:45:00,116.35,79.65,2022-09-08 11:53:00,94.85,94.85,,,
15-09-2022,15-09-2022,10:20,0.3,41500,41508.9,212.05,136.35,2022-09-15 10:32:00,168.5,202.5,2022-09-15 10:24:00,41.70000000000002,41.70000000000002,,,20.178041543026705
22-09-2022,22-09-2022,10:20,0.3,40800,40849.25,185.85,126.35,2022-09-22 11:12:00,176.5,212.6,2022-09-22 10:42:00,23.400000000000006,23.400000000000006,,,20.45325779036827
29-09-2022,29-09-2022,10:20,0.3,38000,38032.6,193.2,127.35,2022-09-29 11:06:00,155.35,102.1,2022-09-29 10:55:00,119.1,119.1,,,
06-10-2022,06-10-2022,10:20,0.3,39400,39444.85,174.55,116.6,2022-10-06 11:27:00,122.0,82.5,2022-10-06 12:19:00,97.45000000000002,97.45000000000002,,,
13-10-2022,13-10-2022,10:20,0.3,38800,38802.15,153.75,102.75,2022-10-13 10:32:00,160.0,193.45,2022-10-13 10:24:00,17.55000000000001,17.55000000000001,,,20.906249999999993
20-10-2022,20-10-2022,10:20,0.3,40000,40063.0,156.1,108.65,2022-10-20 10:32:00,98.55,118.3,2022-10-20 13:20:00,27.69999999999999,27.69999999999999,,,20.04058853373922
27-10-2022,27-10-2022,10:20,0.3,41300,41384.05,166.9,115.3,2022-10-27 11:06:00,83.75,101.2,2022-10-27 10:52:00,34.150000000000006,34.150000000000006,,,20.835820895522392
03-11-2022,03-11-2022,10:20,0.3,41300,41383.2,177.75,213.65,2022-11-03 11:24:00,125.15,83.7,2022-11-03 11:14:00,5.549999999999997,5.549999999999997,,20.196905766526022,
10-11-2022,10-11-2022,10:20,0.3,41500,41539.85,126.4,88.15,2022-11-10 10:33:00,67.05,80.75,2022-11-10 10:27:00,24.549999999999997,24.549999999999997,,,20.43251304996272
17-11-2022,17-11-2022,10:20,0.3,42400,42453.1,125.55,83.05,2022-11-17 11:28:00,69.2,47.2,2022-11-17 12:06:00,64.5,64.5,,,
24-11-2022,24-11-2022,10:20,0.3,42900,42915.6,76.5,91.85,2022-11-24 10:47:00,69.5,48.4,2022-11-24 10:54:00,5.750000000000007,5.750000000000007,,20.065359477124176,
01-12-2022,01-12-2022,10:20,0.3,43300,43355.4,121.4,145.9,2022-12-01 12:40:00,54.1,32.8,2022-12-01 10:51:00,-3.1999999999999957,,-3.1999999999999957,20.181219110378912,
08-12-2022,08-12-2022,10:20,0.3,43300,43367.5,129.6,155.55,2022-12-08 13:39:00,76.8,52.3,2022-12-08 11:17:00,-1.450000000000017,,-1.450000000000017,20.023148148148163,
15-12-2022,15-12-2022,10:20,0.3,44000,44039.9,112.6,77.7,2022-12-15 11:27:00,60.45,491.75,2022-12-15 15:15:00,-396.40000000000003,,-396.40000000000003,,
22-12-2022,22-12-2022,10:20,0.3,42400,42479.9,198.25,132.0,2022-12-22 11:01:00,147.3,96.0,2022-12-22 11:14:00,117.55000000000001,117.55000000000001,,,
29-12-2022,29-12-2022,10:20,0.3,42500,42532.55,112.85,135.6,2022-12-29 10:36:00,109.05,75.1,2022-12-29 10:38:00,11.200000000000003,11.200000000000003,,20.159503766061142,
05-01-2023,05-01-2023,10:20,0.3,42800,42858.5,154.8,106.25,2023-01-05 11:14:00,125.35,171.65,2023-01-05 15:15:00,2.25,2.25,,,
12-01-2023,12-01-2023,10:20,0.3,42000,42057.25,178.1,120.0,2023-01-12 10:30:00,129.75,156.2,2023-01-12 11:01:00,31.650000000000006,31.650000000000006,,,20.385356454720608
19-01-2023,19-01-2023,10:20,0.3,42300,42361.6,155.6,102.15,2023-01-19 11:23:00,102.95,69.3,2023-01-19 10:40:00,87.1,87.1,,,
25-01-2023,25-01-2023,10:20,0.3,42000,42088.6,189.4,114.0,2023-01-25 10:44:00,98.9,119.4,2023-01-25 10:29:00,54.900000000000006,54.900000000000006,,,20.72800808897877
02-02-2023,02-02-2023,10:20,0.3,40400,40401.55,239.45,160.55,2023-02-02 10:29:00,237.35,154.5,2023-02-02 11:53:00,161.74999999999997,161.74999999999997,,,
09-02-2023,09-02-2023,10:20,0.3,41300,41397.95,183.25,125.65,2023-02-09 12:07:00,81.65,98.75,2023-02-09 10:53:00,40.5,40.5,,,20.943049601959576
16-02-2023,16-02-2023,10:20,0.3,41800,41849.1,130.35,89.8,2023-02-16 11:54:00,80.3,53.75,2023-02-16 11:01:00,67.1,67.1,,,
23-02-2023,23-02-2023,10:20,0.3,40000,40055.4,179.2,105.0,2023-02-23 10:52:00,103.85,71.35,2023-02-23 10:31:00,106.69999999999999,106.69999999999999,,,
02-03-2023,02-03-2023,10:20,0.3,40500,40592.35,173.65,115.3,2023-03-02 12:45:00,63.2,43.75,2023-03-02 10:35:00,77.80000000000001,77.80000000000001,,,
09-03-2023,09-03-2023,10:20,0.3,41400,41488.8,131.5,158.05,2023-03-09 10:26:00,62.0,43.15,2023-03-09 10:26:00,-7.70000000000001,,-7.70000000000001,20.190114068441073,
16-03-2023,16-03-2023,10:20,0.3,38700,38731.8,193.9,233.6,2023-03-16 12:12:00,129.8,82.6,2023-03-16 10:24:00,7.500000000000028,7.500000000000028,,20.474471376998444,
23-03-2023,23-03-2023,10:20,0.3,40000,40037.65,149.15,97.65,2023-03-23 11:08:00,121.8,83.1,2023-03-23 11:59:00,90.2,90.2,,,
29-03-2023,29-03-2023,10:20,0.3,39700,39715.6,122.4,84.7,2023-03-29 14:35:00,107.0,65.15,2023-03-29 10:24:00,79.55,79.55,,,
06-04-2023,06-04-2023,10:20,0.3,41100,41124.75,121.9,75.8,2023-04-06 12:07:00,106.9,73.4,2023-04-06 10:49:00,79.60000000000001,79.60000000000001,,,
