date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss,call_profit,put_profit
02-06-2022,02-06-2022,10:20,0.3,35600,35572.8,122.4,82.95,2022-06-02 10:51:00,173.95,210.15,2022-06-02 10:58:00,3.249999999999986,3.249999999999986,,,20.810577752227662
09-06-2022,09-06-2022,10:20,0.3,34700,34695.3,126.3,151.75,2022-06-09 11:31:00,92.05,63.85,2022-06-09 10:29:00,2.749999999999993,2.749999999999993,,20.150435471100554,
16-06-2022,16-06-2022,10:20,0.3,33600,33560.45,117.05,78.3,2022-06-16 10:43:00,128.15,154.15,2022-06-16 10:32:00,12.75,12.75,,,20.288724151385097
23-06-2022,23-06-2022,10:20,0.3,33500,33405.0,88.0,59.4,2022-06-23 10:54:00,207.4,250.05,2022-06-23 14:57:00,-14.050000000000004,,-14.050000000000004,,20.564127290260366
30-06-2022,30-06-2022,10:20,0.3,33400,33383.05,150.7,99.4,2022-06-30 12:35:00,179.65,113.7,2022-06-30 10:45:00,117.24999999999999,117.24999999999999,,,
07-07-2022,07-07-2022,10:20,0.3,34700,34627.4,86.05,103.65,2022-07-07 10:38:00,177.95,120.25,2022-07-07 11:48:00,40.09999999999998,40.09999999999998,,20.45322486926207,
14-07-2022,14-07-2022,10:20,0.3,35000,34941.3,106.15,64.9,2022-07-14 10:26:00,159.0,191.55,2022-07-14 10:25:00,8.699999999999989,8.699999999999989,,,20.471698113207555
21-07-2022,21-07-2022,10:20,0.3,36200,36120.1,71.4,48.25,2022-07-21 11:05:00,177.45,123.8,2022-07-21 11:20:00,76.8,76.8,,,
28-07-2022,28-07-2022,10:20,0.3,37300,37249.4,99.0,69.1,2022-07-28 12:00:00,130.45,86.55,2022-07-28 11:14:00,73.8,73.8,,,
04-08-2022,04-08-2022,10:20,0.3,38100,38075.95,117.55,75.7,2022-08-04 10:42:00,128.15,336.7,2022-08-04 15:15:00,-166.7,,-166.7,,
11-08-2022,11-08-2022,10:20,0.3,38900,38842.0,87.05,60.2,2022-08-11 11:27:00,153.4,104.7,2022-08-11 12:18:00,75.55,75.55,,,
18-08-2022,18-08-2022,10:20,0.3,39600,39577.8,98.8,62.85,2022-08-18 11:13:00,117.45,141.5,2022-08-18 13:19:00,11.899999999999999,11.899999999999999,,,20.476798637718176
25-08-2022,25-08-2022,10:20,0.3,39300,39289.8,136.25,93.05,2022-08-25 11:26:00,99.95,64.4,2022-08-25 11:46:00,78.75,78.75,,,
01-09-2022,01-09-2022,10:20,0.3,39700,39615.65,121.7,146.95,2022-09-01 10:23:00,264.95,318.5,2022-09-01 11:48:00,-78.8,,-78.8,20.747740345110916,20.211360634081906
08-09-2022,08-09-2022,10:20,0.3,40000,39970.4,129.65,82.55,2022-09-08 10:45:00,161.35,194.8,2022-09-08 10:44:00,13.649999999999991,13.649999999999991,,,20.731329408119006
15-09-2022,15-09-2022,10:20,0.3,41600,41508.9,160.5,110.85,2022-09-15 10:30:00,220.05,148.2,2022-09-15 14:37:00,121.50000000000003,121.50000000000003,,,
22-09-2022,22-09-2022,10:20,0.3,40900,40849.25,140.4,96.85,2022-09-22 10:35:00,229.95,276.85,2022-09-22 10:30:00,-3.3500000000000227,,-3.3500000000000227,,20.395738203957396
29-09-2022,29-09-2022,10:20,0.3,38100,38032.6,142.6,97.1,2022-09-29 11:04:00,205.6,248.4,2022-09-29 11:10:00,2.6999999999999886,2.6999999999999886,,,20.8171206225681
06-10-2022,06-10-2022,10:20,0.3,39500,39444.85,121.5,82.6,2022-10-06 11:25:00,168.3,103.3,2022-10-06 12:48:00,103.90000000000002,103.90000000000002,,,
13-10-2022,13-10-2022,10:20,0.3,38900,38802.15,110.45,72.2,2022-10-13 10:32:00,218.85,263.85,2022-10-13 10:27:00,-6.750000000000028,,-6.750000000000028,,20.562028786840315
20-10-2022,20-10-2022,10:20,0.3,40100,40063.0,103.3,70.95,2022-10-20 10:31:00,144.2,173.05,2022-10-20 10:54:00,3.4999999999999716,3.4999999999999716,,,20.006934812760072
27-10-2022,27-10-2022,10:20,0.3,41400,41384.05,108.95,72.35,2022-10-27 10:45:00,125.8,151.4,2022-10-27 10:39:00,11.0,11.0,,,20.349761526232122
03-11-2022,03-11-2022,10:20,0.3,41400,41383.2,123.0,78.75,2022-11-03 11:01:00,170.8,108.05,2022-11-03 11:15:00,107.00000000000001,107.00000000000001,,,
10-11-2022,10-11-2022,10:20,0.3,41600,41539.85,73.95,48.3,2022-11-10 10:33:00,115.45,69.95,2022-11-10 14:53:00,71.15,71.15,,,
17-11-2022,17-11-2022,10:20,0.3,42500,42453.1,71.6,50.05,2022-11-17 11:03:00,115.5,78.2,2022-11-17 12:17:00,58.849999999999994,58.849999999999994,,,
24-11-2022,24-11-2022,10:20,0.3,43000,42915.6,37.6,45.3,2022-11-24 10:37:00,130.9,91.2,2022-11-24 11:10:00,32.00000000000001,32.00000000000001,,20.478723404255305,
01-12-2022,01-12-2022,10:20,0.3,43400,43355.4,65.0,78.55,2022-12-01 10:26:00,97.95,64.7,2022-12-01 10:51:00,19.700000000000003,19.700000000000003,,20.846153846153843,
08-12-2022,08-12-2022,10:20,0.3,43400,43367.5,75.45,90.85,2022-12-08 11:24:00,122.85,80.3,2022-12-08 11:18:00,27.150000000000006,27.150000000000006,,20.410868124585807,
15-12-2022,15-12-2022,10:20,0.3,44100,44039.9,58.4,37.2,2022-12-15 11:22:00,106.85,591.1,2022-12-15 15:15:00,-463.05,,-463.05,,
22-12-2022,22-12-2022,10:20,0.3,42500,42479.9,144.65,96.7,2022-12-22 11:00:00,193.6,116.4,2022-12-22 11:16:00,125.14999999999999,125.14999999999999,,,
29-12-2022,29-12-2022,10:20,0.3,42600,42532.55,66.1,79.75,2022-12-29 10:27:00,163.05,110.9,2022-12-29 10:39:00,38.5,38.5,,20.65052950075644,
05-01-2023,05-01-2023,10:20,0.3,42900,42858.5,110.2,76.45,2023-01-05 10:56:00,181.9,271.3,2023-01-05 15:15:00,-55.650000000000006,,-55.650000000000006,,
12-01-2023,12-01-2023,10:20,0.3,42100,42057.25,125.9,81.75,2023-01-12 10:30:00,178.2,215.15,2023-01-12 10:26:00,7.199999999999989,7.199999999999989,,,20.735129068462413
19-01-2023,19-01-2023,10:20,0.3,42400,42361.6,101.85,122.55,2023-01-19 10:25:00,147.15,76.6,2023-01-19 11:02:00,49.85000000000001,49.85000000000001,,20.324005891016203,
