date,expiry_date,time,strike_price,actual_strike_price,call_start,put_start,call_5%,call_5%_time,call_10%,call_10%_time,call_15%,call_15%_time,call_20%,call_20%_time,call_25%,call_25%_time,call_30%,call_30%_time,call_35%,call_35%_time,call_40%,call_40%_time,call_45%,call_45%_time,call_50%,call_50%_time,put_5%,put_5%_time,put_10%,put_10%_time,put_15%,put_15%_time,put_20%,put_20%_time,put_25%,put_25%_time,put_30%,put_30%_time,put_35%,put_35%_time,put_40%,put_40%_time,put_45%,put_45%_time,put_50%,put_50%_time
02-06-2022,02-06-2022,11:40,35500,35549.95,147.95,110.85,5.170665765461309,12:35,,,15.174045285569463,13:46,,,,,,,,,,,,,,,5.95399188092017,11:41,10.509697789806049,11:51,15.741993685160145,11:58,20.884077582318454,13:21,,,30.040595399188103,13:05,,,,,,,,
09-06-2022,09-06-2022,11:40,34800,34819.05,99.8,99.0,5.6613226452905865,12:14,10.22044088176353,12:17,15.931863727454914,12:55,,,25.400801603206425,12:51,,,35.27054108216433,14:46,40.030060120240485,12:35,,,,,5.35353535353535,11:46,10.353535353535353,11:48,,,,,,,,,,,,,,,,
16-06-2022,16-06-2022,11:40,33200,33287.0,143.35,123.8,,,,,,,,,,,,,,,,,,,,,,,10.662358642972539,11:46,15.428109854604207,11:44,,,25.282714054927304,11:42,30.775444264943463,12:32,35.945072697899846,11:54,40.4281098546042,11:48,45.84006462035543,11:50,,
23-06-2022,23-06-2022,11:40,33200,33272.75,152.8,103.4,,,,,,,,,,,,,,,,,,,,,,,10.493230174081232,11:46,15.715667311411991,14:04,20.40618955512572,14:34,25.33849129593809,13:45,30.609284332688592,13:46,35.928433268858804,13:50,40.4255319148936,11:51,45.06769825918761,11:55,50.338491295938084,11:53
30-06-2022,30-06-2022,11:40,33400,33415.3,142.7,155.45,5.6762438682550975,11:42,10.161177295024528,11:45,,,20.182200420462518,13:34,25.71829011913106,13:18,30.798878766643323,12:39,,,,,,,,,5.853972338372482,12:15,10.646510131875209,12:12,15.59987134126729,12:30,20.48890318430365,12:35,,,,,,,,,,,,
07-07-2022,07-07-2022,11:40,34600,34676.6,132.5,87.35,5.849056603773585,11:50,10.075471698113203,11:48,15.207547169811326,12:10,20.86792452830189,11:57,25.849056603773583,12:02,30.113207547169818,12:01,,,,,45.13207547169812,14:29,50.64150943396226,13:05,,,,,,,,,,,,,,,,,,,,
14-07-2022,14-07-2022,11:40,34800,34801.35,128.55,108.45,,,,,,,,,,,,,,,,,,,,,,,,,,,20.42415859843245,12:20,25.680036883356394,12:19,30.567081604425994,11:58,35.13139695712311,11:46,40.43337943752882,12:13,45.32042415859842,11:50,50.62240663900413,12:06
21-07-2022,21-07-2022,11:40,36200,36288.9,169.55,65.4,,,,,,,,,,,,,,,,,,,,,5.657492354740043,15:03,10.091743119266045,11:56,15.59633027522934,11:47,20.87155963302751,11:43,25.305810397553508,12:37,30.886850152905176,13:02,35.16819571865443,14:20,40.21406727828745,12:22,,,,
28-07-2022,28-07-2022,11:40,37200,37284.55,146.85,60.3,5.6860742254000645,12:07,10.078311201906716,12:13,15.900578821927134,12:52,,,25.22982635342187,14:18,,,35.886959482465116,14:19,,,,,,,5.638474295190723,12:03,,,,,,,,,,,,,,,,,,
04-08-2022,04-08-2022,11:40,37500,37545.15,163.05,154.75,5.611775528978827,12:34,10.027598896044154,12:40,15.9766942655627,12:07,20.576510272922405,12:37,,,30.021465808034336,13:08,35.66390677706223,13:20,,,,,,,,,10.69466882067852,11:56,,,,,,,,,,,40.484652665589664,11:51,,,,
11-08-2022,11-08-2022,11:40,38700,38794.2,156.15,69.35,5.15529939161062,11:43,10.310598783221257,12:15,15.20973422990714,12:16,20.140890169708605,13:46,25.61639449247518,12:18,30.547550432276648,12:50,35.6388088376561,12:21,40.53794428434196,12:33,45.82132564841498,12:29,,,,,,,,,,,,,,,,,,,,,,
18-08-2022,18-08-2022,11:40,39400,39449.75,126.05,62.2,,,,,,,20.983736612455377,14:18,,,30.900436334787784,14:21,35.70011900039668,14:36,,,,,,,5.868167202572333,11:41,10.45016077170418,12:41,15.675241157556268,11:44,20.498392282958196,12:33,,,30.305466237942113,11:52,,,,,,,,
25-08-2022,25-08-2022,11:40,39200,39231.7,138.0,89.2,5.072463768115942,14:31,,,15.543478260869556,14:27,,,25.144927536231876,14:26,,,,,,,45.65217391304348,11:45,,,,,,,,,,,,,,,,,,,,,,
01-09-2022,01-09-2022,11:40,39500,39539.35,175.3,149.05,,,,,,,,,,,,,,,,,,,,,,,10.566923851056693,11:46,,,20.764844012076473,12:36,25.226434082522637,12:09,30.929218383092916,11:48,,,40.89231801408922,14:33,45.353908084535384,14:35,50.72123448507212,13:02
08-09-2022,08-09-2022,11:40,39900,39947.25,136.8,110.2,,,10.307017543859644,11:41,,,20.979532163742682,11:46,25.14619883040934,13:12,,,,,,,45.504385964912274,13:21,50.073099415204666,12:17,,,,,,,,,,,,,,,,,,,,
15-09-2022,15-09-2022,11:40,41300,41371.75,201.5,104.75,,,,,,,,,,,,,,,,,,,,,,,,,15.226730310262532,11:41,20.190930787589505,12:35,25.011933174224332,12:29,30.310262529832936,12:43,35.56085918854415,11:49,40.04773269689736,13:47,45.68019093078758,11:47,50.5489260143198,11:46
22-09-2022,22-09-2022,11:40,40600,40653.95,161.0,119.75,,,10.807453416149073,14:42,15.838509316770185,14:38,20.527950310559014,13:38,25.0,13:39,,,35.12422360248448,13:40,40.40372670807454,13:34,,,,,5.803757828810023,13:15,10.480167014613787,13:14,,,,,25.135699373695193,12:01,,,,,40.167014613778704,12:07,45.17745302713987,12:38,,
29-09-2022,29-09-2022,11:40,37800,37892.3,192.75,100.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.41024365987071,12:25,30.63152660367976,14:50,35.45499751367478,12:24,40.726006961710596,11:45,45.300845350571855,14:31,,
06-10-2022,06-10-2022,11:40,39400,39407.85,132.8,113.25,,,,,15.361445783132513,13:50,20.67018072289156,13:52,25.376506024096372,13:17,30.346385542168658,13:22,35.090361445783124,13:47,40.85090361445783,12:48,,,,,5.518763796909492,14:20,,,,,,,,,,,,,,,,,,
13-10-2022,13-10-2022,11:40,38600,38629.1,142.35,129.8,5.338953284158761,12:58,,,15.595363540569032,14:56,,,25.816649104320337,14:25,30.944854232525476,14:28,35.5461889708465,14:39,,,,,50.579557428872505,14:49,,,,,15.755007704160237,11:42,20.26194144838211,12:13,,,,,35.90138674884437,12:07,40.98613251155623,11:45,45.6086286594761,11:52,50.23112480739598,11:59
20-10-2022,20-10-2022,11:40,39800,39899.45,171.4,76.4,5.48424737456243,12:18,10.093348891481902,11:45,15.256709451575265,13:13,20.94515752625438,12:40,25.641773628938147,12:38,30.921820303383896,12:29,35.414235705950986,12:46,40.34422403733956,12:27,,,50.52508751458576,12:51,,,,,,,,,,,,,,,,,,,,
27-10-2022,27-10-2022,11:40,41200,41295.65,155.95,71.55,5.514588008977251,11:41,,,15.261301699262592,12:00,20.872074382815015,13:36,,,,,,,,,,,,,,,10.272536687631039,12:19,,,,,,,,,,,,,,,,
03-11-2022,03-11-2022,11:40,41300,41377.05,133.8,93.05,,,,,,,,,,,,,,,,,,,,,5.534658785599147,11:46,10.58570660934982,12:01,15.797958087049976,11:53,20.365394948952183,12:08,25.577646426652333,12:18,30.306286942504034,11:45,35.411069317571204,12:55,,,,,,
10-11-2022,10-11-2022,11:40,41500,41506.45,82.0,81.1,5.609756097560969,15:01,,,,,20.73170731707317,15:14,,,,,,,,,,,,,5.980271270037002,11:49,,,15.043156596794086,13:35,,,25.52404438964242,14:23,30.271270036991382,13:33,,,40.62885326757091,13:19,,,50.924784217016054,12:03
17-11-2022,17-11-2022,11:40,42400,42445.8,98.05,58.0,5.252422233554315,11:46,10.045894951555338,12:27,15.45130035696074,11:52,20.346761856195823,12:30,25.59918408975014,13:55,30.596634370219288,12:55,35.95104538500766,12:46,40.38755736868945,12:45,45.537990821009686,13:05,50.33146353901073,13:23,,,,,,,,,,,,,,,,,,,,
24-11-2022,24-11-2022,11:40,42900,42959.75,88.1,41.95,5.788876276958012,12:51,,,,,,,,,,,,,40.2383654937571,15:05,,,,,5.601907032181154,11:54,10.48867699642431,11:53,15.971394517282466,11:52,20.143027413587593,13:12,25.625744934445766,13:17,,,35.63766388557806,13:18,,,45.29201430274136,13:35,,
01-12-2022,01-12-2022,11:40,43300,43365.15,136.0,34.9,5.514705882352941,12:52,10.073529411764698,12:41,,,,,,,,,,,,,,,,,5.730659025787966,11:43,10.744985673352437,11:44,15.186246418338122,11:56,20.916905444126087,11:55,25.07163323782235,14:25,30.372492836676223,14:12,,,,,,,,
08-12-2022,08-12-2022,11:40,43400,43428.85,78.7,80.0,5.019059720457437,11:47,10.228716645489195,14:00,15.37484116899618,13:34,,,,,,,,,,,,,50.63532401524776,14:14,5.0624999999999964,11:54,10.187500000000007,12:00,15.562500000000004,12:42,,,,,,,,,,,,,,
15-12-2022,15-12-2022,11:40,43900,43949.05,110.85,52.0,5.818673883626525,11:44,,,,,,,,,,,,,,,,,,,5.576923076923075,11:48,10.000000000000005,14:14,15.384615384615385,12:15,,,25.19230769230768,12:05,,,35.96153846153847,11:56,40.0,12:01,45.19230769230769,14:27,50.76923076923078,12:31
22-12-2022,22-12-2022,11:40,42400,42422.75,155.6,106.25,5.623393316195373,14:28,10.250642673521861,14:30,,,,,,,,,,,,,45.34061696658099,14:24,,,,,10.964705882352947,11:43,,,20.141176470588242,13:08,25.458823529411777,12:31,30.21176470588235,12:33,35.905882352941184,12:41,,,,,50.917647058823526,12:55
29-12-2022,29-12-2022,11:40,42500,42566.2,143.6,65.8,,,10.550139275766021,12:25,15.981894150417839,12:29,20.57799442896937,12:44,25.38300835654597,12:24,30.39693593314764,12:06,35.376044568245135,12:37,40.807799442896936,13:00,45.96100278551532,11:54,,,,,,,,,,,,,,,,,,,,,,
05-01-2023,05-01-2023,11:40,42600,42634.6,157.6,89.1,5.329949238578684,11:45,,,,,,,,,,,,,,,,,,,5.6677890011223475,12:28,10.21324354657689,12:08,,,20.98765432098766,11:52,,,30.808080808080813,12:03,35.6902356902357,14:28,40.01122334455668,13:17,45.173961840628515,13:18,50.168350168350194,14:46
12-01-2023,12-01-2023,11:40,41900,41982.95,164.3,95.15,,,10.986001217285441,12:57,15.094339622641497,13:02,,,,,30.675593426658537,15:04,,,40.59646987218502,12:55,45.556908094948255,12:53,,,5.3599579611140244,11:51,,,15.817130846032576,11:57,20.441408302679967,13:23,,,30.3730951129795,13:53,35.260115606936395,13:52,,,45.82238570677876,13:33,,
19-01-2023,19-01-2023,11:40,42300,42308.1,111.05,100.1,5.042773525438999,12:09,10.715893741557862,12:10,15.938766321476816,12:13,20.396217919855914,11:52,,,,,,,,,,,,,5.944055944055948,12:56,,,,,,,,,,,,,,,,,,
