date,expiry_date,time,profit,strike_price,actual_strike_price,call_start,call_stop,call_profit,call_profit_percent,call_stop_time,put_start,put_stop,put_profit,put_profit_percent,put_stop_time,net,net_gain,net_loss
02-06-2022,02-06-2022,12:50,5.0,35600,35521.05,89.0,96.95,7.950000000000003,8.932584269662925,2022-06-02 12:55:00,170.3,200.3,30.0,17.615971814445093,2022-06-02 13:04:00,37.95,37.95,
09-06-2022,09-06-2022,12:50,5.0,35000,34901.1,43.05,49.5,6.450000000000003,14.982578397212551,2022-06-09 15:03:00,165.45,177.35,11.900000000000006,7.192505288606833,2022-06-09 12:51:00,18.35000000000001,18.35000000000001,
16-06-2022,16-06-2022,12:50,5.0,33100,33049.8,110.35,122.05,11.700000000000003,10.602628001812418,2022-06-16 12:58:00,130.45,139.6,9.150000000000006,7.014181678804145,2022-06-16 12:51:00,20.85000000000001,20.85000000000001,
23-06-2022,23-06-2022,12:50,5.0,32900,32838.95,70.05,75.8,5.75,8.20842255531763,2022-06-23 12:51:00,185.95,243.95,58.0,31.19118042484539,2022-06-23 13:08:00,63.75,63.75,
30-06-2022,30-06-2022,12:50,5.0,33400,33395.4,128.1,137.3,9.200000000000017,7.181889149102277,2022-06-30 12:57:00,137.5,0.2,,,2022-06-30 15:20:00,-128.1,,-128.1
07-07-2022,07-07-2022,12:50,5.0,34800,34714.35,54.25,57.95,3.700000000000003,6.8202764976958585,2022-07-07 12:53:00,158.65,180.9,22.25,14.02458241411913,2022-07-07 14:16:00,25.950000000000003,25.950000000000003,
14-07-2022,14-07-2022,12:50,5.0,34800,34711.0,60.75,67.75,7.0,11.522633744855968,2022-07-14 12:55:00,151.45,166.55,15.100000000000023,9.970287223506123,2022-07-14 13:10:00,22.100000000000023,22.100000000000023,
21-07-2022,21-07-2022,12:50,5.0,36300,36265.3,68.7,81.35,12.649999999999991,18.413391557496347,2022-07-21 12:51:00,111.9,134.4,22.5,20.10723860589812,2022-07-21 13:00:00,35.14999999999999,35.14999999999999,
28-07-2022,28-07-2022,12:50,5.0,37400,37324.3,50.4,56.55,6.149999999999999,12.202380952380949,2022-07-28 12:51:00,129.7,138.35,8.650000000000006,6.669236700077106,2022-07-28 12:54:00,14.800000000000004,14.800000000000004,
04-08-2022,04-08-2022,12:50,5.0,37700,37641.85,64.65,68.4,3.75,5.800464037122969,2022-08-04 12:51:00,127.3,140.15,12.850000000000009,10.094265514532609,2022-08-04 12:52:00,16.60000000000001,16.60000000000001,
11-08-2022,11-08-2022,12:50,5.0,38900,38887.0,68.2,73.5,5.299999999999997,7.771260997067444,2022-08-11 12:55:00,86.95,92.2,5.25,6.037952846463485,2022-08-11 12:51:00,10.549999999999997,10.549999999999997,
18-08-2022,18-08-2022,12:50,5.0,39500,39409.75,31.1,32.75,1.6499999999999986,5.305466237942117,2022-08-18 12:52:00,150.15,0.2,,,2022-08-18 15:20:00,-148.3,,-148.3
25-08-2022,25-08-2022,12:50,5.0,39500,39456.0,68.15,71.85,3.6999999999999886,5.429200293470269,2022-08-25 12:51:00,100.35,111.15,10.800000000000011,10.762331838565034,2022-08-25 13:02:00,14.5,14.5,
01-09-2022,01-09-2022,12:50,5.0,39500,39420.3,99.8,110.8,11.0,11.022044088176353,2022-09-01 12:52:00,198.9,228.85,29.94999999999999,15.057817998994464,2022-09-01 12:58:00,40.94999999999999,40.94999999999999,
08-09-2022,08-09-2022,12:50,5.0,40100,40048.65,86.6,92.8,6.200000000000003,7.159353348729796,2022-09-08 12:52:00,145.0,167.5,22.5,15.517241379310345,2022-09-08 12:59:00,28.700000000000003,28.700000000000003,
15-09-2022,15-09-2022,12:50,5.0,41300,41262.7,106.35,115.7,9.350000000000009,8.791725434884823,2022-09-15 12:55:00,138.25,146.7,8.449999999999989,6.112115732368888,2022-09-15 13:47:00,17.799999999999997,17.799999999999997,
22-09-2022,22-09-2022,12:50,5.0,40500,40431.45,104.5,115.25,10.75,10.287081339712918,2022-09-22 12:55:00,155.7,164.9,9.200000000000017,5.908798972382799,2022-09-22 12:51:00,19.950000000000017,19.950000000000017,
29-09-2022,29-09-2022,12:50,5.0,37700,37667.9,94.35,126.65,32.30000000000001,34.23423423423425,2022-09-29 13:57:00,155.9,178.3,22.400000000000006,14.368184733803723,2022-09-29 12:51:00,54.70000000000002,54.70000000000002,
06-10-2022,06-10-2022,12:50,5.0,39600,39527.7,94.2,104.3,10.099999999999994,10.72186836518046,2022-10-06 12:59:00,134.15,144.25,10.099999999999994,7.5288855758479265,2022-10-06 13:55:00,20.19999999999999,20.19999999999999,
13-10-2022,13-10-2022,12:50,5.0,38700,38647.9,87.15,93.15,6.0,6.884681583476763,2022-10-13 12:58:00,120.8,131.45,10.649999999999991,8.816225165562908,2022-10-13 12:52:00,16.64999999999999,16.64999999999999,
20-10-2022,20-10-2022,12:50,5.0,40100,40017.55,58.95,70.0,11.049999999999997,18.744698897370647,2022-10-20 12:51:00,147.0,160.15,13.150000000000006,8.94557823129252,2022-10-20 12:52:00,24.200000000000003,24.200000000000003,
27-10-2022,27-10-2022,12:50,5.0,41300,41226.5,68.1,72.35,4.25,6.240822320117475,2022-10-27 12:52:00,116.0,124.8,8.799999999999997,7.5862068965517215,2022-10-27 14:39:00,13.049999999999997,13.049999999999997,
03-11-2022,03-11-2022,12:50,5.0,41300,41265.9,80.3,90.95,10.650000000000006,13.262764632627654,2022-11-03 13:11:00,102.3,109.05,6.75,6.598240469208211,2022-11-03 12:51:00,17.400000000000006,17.400000000000006,
10-11-2022,10-11-2022,12:50,5.0,41400,41354.25,48.1,52.5,4.399999999999999,9.147609147609144,2022-11-10 12:56:00,99.25,0.2,,,2022-11-10 15:20:00,-94.65,,-94.65
17-11-2022,17-11-2022,12:50,5.0,42500,42489.4,70.65,74.45,3.799999999999997,5.378627034677986,2022-11-17 12:57:00,58.25,33.3,,,2022-11-17 15:20:00,-21.150000000000006,,-21.150000000000006
