date,expiry_date,time,strike_price,actual_strike_price,call_start,put_start,call_5%,call_5%_time,call_10%,call_10%_time,call_15%,call_15%_time,call_20%,call_20%_time,call_25%,call_25%_time,call_30%,call_30%_time,call_35%,call_35%_time,call_40%,call_40%_time,call_45%,call_45%_time,call_50%,call_50%_time,put_5%,put_5%_time,put_10%,put_10%_time,put_15%,put_15%_time,put_20%,put_20%_time,put_25%,put_25%_time,put_30%,put_30%_time,put_35%,put_35%_time,put_40%,put_40%_time,put_45%,put_45%_time,put_50%,put_50%_time
02-06-2022,02-06-2022,14:15,35600,35571.4,75.55,84.55,5.326785039667557,15:15,10.162448054401223,14:58,,,,,25.009444654325648,14:56,,,,,,,,,,,,,10.501750291715286,14:17,15.37551744529864,14:20,,,25.087514585764293,14:25,30.81017149615612,14:26,,,,,,,,
09-06-2022,09-06-2022,14:15,34900,34861.15,38.55,94.45,,,,,15.953307392996125,14:32,20.472440944881896,14:17,,,,,,,40.077821011673166,14:47,45.91439688715954,14:26,,,,,,,,,,,,,,,,,,,,,,
16-06-2022,16-06-2022,14:15,32800,32781.35,38.7,129.4,,,,,,,,,25.109034267912776,14:28,,,,,,,,,,,,,10.31684698608964,15:06,,,20.890165111270633,14:42,25.15455950540957,14:46,30.71870170015456,14:41,,,,,,,,
23-06-2022,23-06-2022,14:15,33100,33029.3,38.2,141.55,,,,,15.18324607329842,14:17,,,25.030376670716905,14:22,30.25516403402188,14:18,,,,,,,50.85054678007291,14:19,,,,,,,,,,,,,,,,,,,,
30-06-2022,30-06-2022,14:15,33600,33539.35,57.0,132.6,,,,,,,,,,,,,,,,,,,,,5.218525766470972,14:23,10.95890410958903,14:36,15.655577299412915,14:25,20.35225048923678,14:32,25.82956259426848,15:03,30.2790346907994,14:33,35.87736464448793,14:41,40.90019569471623,14:42,45.7767722473605,14:40,,
07-07-2022,07-07-2022,14:15,34700,34673.7,44.35,85.9,5.975197294250279,14:17,,,,,,,,,30.552423900789172,14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2022,14-07-2022,14:15,34700,34604.65,27.1,120.15,,,,,,,,,,,,,,,,,,,,,5.451518934664999,14:16,10.73211314475873,14:25,15.307820299500824,14:22,,,,,,,,,,,,,,
21-07-2022,21-07-2022,14:15,36200,36155.55,38.85,73.8,,,,,15.05791505791506,14:30,20.656266810112967,14:32,,,,,35.61054330285099,14:31,,,,,,,,,,,15.59633027522936,14:21,20.36697247706421,14:19,,,,,,,,,,,,
28-07-2022,28-07-2022,14:15,37400,37382.9,53.1,49.5,,,,,,,,,,,,,,,,,,,,,5.217391304347818,14:49,,,15.072463768115952,14:23,20.86956521739131,14:34,,,,,,,40.0,14:34,,,,
04-08-2022,04-08-2022,14:15,37600,37585.35,52.45,83.7,,,10.464591790708171,14:18,15.25262154432793,14:32,20.117275597654498,14:34,,,30.314585319351746,14:19,,,,,45.37663509246731,14:43,50.47361299052776,14:46,,,,,,,,,,,,,,,,,,,,
11-08-2022,11-08-2022,14:15,38900,38850.75,31.65,83.5,,,,,,,20.22116903633491,14:46,25.599520383693037,14:29,30.21582733812948,14:43,35.38704581358611,14:26,40.947242206235,14:34,45.497630331753555,14:38,50.07898894154819,14:41,,,,,,,,,,,,,,,,,,,,
18-08-2022,18-08-2022,14:15,39600,39509.9,30.95,92.15,5.373525557011806,14:21,,,,,20.193861066235876,14:56,,,,,,,40.17038007863697,15:04,,,,,,,,,,,,,,,,,,,,,,,,
25-08-2022,25-08-2022,14:15,39500,39402.6,31.25,104.4,,,,,,,,,,,,,,,,,,,,,,,10.727969348658993,14:23,15.068493150684937,14:18,,,,,,,,,,,,,,
01-09-2022,01-09-2022,14:15,39200,39133.45,55.9,198.55,,,,,,,,,,,,,35.66507684154744,14:29,,,45.70661896243293,14:30,,,,,,,,,,,,,,,,,,,,,,
08-09-2022,08-09-2022,14:15,40200,40108.5,44.8,115.65,,,10.242587601078167,15:05,15.795148247978444,14:24,,,25.283018867924532,15:02,30.13477088948787,14:30,35.95687331536387,15:00,,,45.31249999999999,14:58,,,,,,,,,,,,,,,,,,,,,,
15-09-2022,15-09-2022,14:15,41400,41370.05,60.4,82.65,5.546357615894042,14:50,10.588235294117643,14:27,15.378151260504211,14:28,,,,,,,35.0,14:23,40.066225165562905,14:33,45.36423841059602,14:23,50.42016806722689,14:38,,,,,,,,,25.952813067150622,15:00,,,,,,,,,,
22-09-2022,22-09-2022,14:15,40900,40851.55,86.65,75.1,,,,,,,,,,,,,,,,,,,,,5.72569906790947,14:17,,,15.91211717709721,14:18,,,25.587467362924293,14:20,,,,,40.469973890339425,14:22,,,,
29-09-2022,29-09-2022,14:15,37700,37647.55,60.05,125.45,5.661948376353049,14:23,10.907577019150704,14:31,15.570358034970871,14:30,,,,,,,,,40.673211781206156,14:48,,,,,5.898764447987239,14:24,,,,,,,,,,,,,,,,,,
06-10-2022,06-10-2022,14:15,39400,39388.65,52.3,97.75,5.454545454545457,14:27,,,,,,,,,,,,,,,,,,,5.054509415262631,14:40,10.69053708439898,14:33,15.39641943734015,14:17,,,25.272547076313177,14:17,,,,,40.818414322250646,15:10,,,,
13-10-2022,13-10-2022,14:15,38700,38683.4,60.8,83.9,5.5921052631579045,14:22,,,,,,,,,,,,,40.1618398637138,14:56,,,,,5.542312276519656,15:04,,,,,,,,,30.572109654350406,15:10,,,,,,,,
20-10-2022,20-10-2022,14:15,40000,39979.5,71.2,60.95,5.828651685393246,14:34,10.841602352076443,14:56,15.178243292907002,14:49,20.80117603822123,15:08,25.799338478500545,14:36,,,35.75891216464533,14:41,,,45.90224182285923,15:14,,,,,10.7070707070707,14:25,,,,,,,,,,,,,,,,
27-10-2022,27-10-2022,14:15,41400,41316.8,36.55,99.3,,,,,,,,,,,,,,,,,,,,,,,10.219780219780217,14:16,15.256797583081577,15:16,20.659340659340657,14:19,25.377643504531726,15:00,,,,,,,45.820745216515625,15:01,50.40281973816717,14:53
03-11-2022,03-11-2022,14:15,41400,41353.95,27.8,98.8,,,,,,,,,,,,,,,,,,,,,5.718623481781383,14:39,10.4757085020243,14:45,15.890688259109314,14:16,20.951417004048587,14:17,25.479143179255914,14:27,30.89064261555805,14:18,,,40.13528748590755,14:20,,,50.16910935738442,14:21
10-11-2022,10-11-2022,14:15,41500,41484.65,43.95,42.25,5.488850771869645,14:52,,,,,,,25.214408233276163,14:58,,,35.50600343053174,14:56,40.15927189988623,14:56,45.733788395904426,14:59,,,,,,,,,,,,,,,,,40.23668639053255,14:32,,,,
17-11-2022,17-11-2022,14:15,42600,42552.6,24.5,73.9,5.87837837837837,14:19,10.743243243243247,14:21,15.714285714285719,14:33,20.675675675675674,14:46,25.71428571428572,14:34,,,,,40.612244897959194,14:47,,,,,5.521472392638043,14:25,,,,,20.56833558863327,15:08,,,,,,,,,,,,
24-11-2022,24-11-2022,14:15,43000,42960.55,24.5,73.9,5.678670360110795,14:16,10.180055401662042,14:17,,,,,,,,,,,,,,,,,5.555555555555552,14:22,10.825439783491204,14:27,15.740740740740733,14:49,20.601851851851848,14:48,25.925925925925913,14:43,,,35.879629629629626,14:44,,,,,50.92592592592592,14:46
01-12-2022,01-12-2022,14:15,43400,43314.8,31.85,101.8,,,,,,,,,,,,,,,,,,,,,5.482717520858158,14:23,,,15.520628683693513,14:21,20.143027413587593,14:21,,,30.451866404715144,14:48,,,40.61886051080551,14:47,,,50.58939096267192,14:42
08-12-2022,08-12-2022,14:15,43500,43478.35,64.85,48.35,,,10.610573343261354,14:38,15.971705137751293,14:29,20.513775130305273,14:40,25.1675353685778,14:20,,,35.21965748324645,15:14,40.09679821295606,14:18,45.5666923670008,14:21,,,,,,,,,,,,,,,,,,,,,,
15-12-2022,15-12-2022,14:15,43900,43880.5,37.95,64.7,5.4375970999482135,14:20,10.305541170378046,14:22,15.151515151515149,14:18,,,25.559947299077724,14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-12-2022,22-12-2022,14:15,42700,42605.6,59.0,129.0,,,,,,,,,,,,,,,,,,,,,,,10.960757780784835,14:18,,,,,25.981055480378874,14:35,,,35.85926928281461,14:39,40.59539918809201,14:28,,,,
29-12-2022,29-12-2022,14:15,42900,42890.6,65.8,79.8,,,10.638297872340425,14:40,,,,,25.66158781074578,14:42,,,,,40.81796311146751,14:44,,,50.28067361668004,14:46,,,10.776942355889735,14:16,15.589353612167296,14:17,20.300751879699252,14:25,25.062656641604008,14:30,,,35.36121673003801,14:32,,,,,,
05-01-2023,05-01-2023,14:15,42400,42383.45,77.35,75.3,5.629370629370637,14:20,,,15.349650349650343,14:57,20.41958041958041,14:25,,,,,35.00000000000001,14:27,40.76923076923078,14:42,45.69930069930069,14:59,,,,,,,,,,,,,,,,,,,,,,
12-01-2023,12-01-2023,14:15,42000,41947.8,48.95,101.0,5.209397344228798,14:36,10.010214504596524,14:30,,,20.079129574678547,14:40,25.32146389713156,14:53,30.745658835546468,14:49,,,40.158259149357065,14:35,,,,,,,,,,,,,,,,,,,,,,,,
19-01-2023,19-01-2023,14:15,42400,42361.4,50.4,77.5,,,,,,,,,,,,,,,,,,,,,,,10.075187969924816,14:18,,,20.30075187969925,14:50,25.096774193548395,14:55,30.37593984962406,14:59,35.93548387096773,14:21,40.30075187969924,14:21,,,50.37593984962406,14:20
25-01-2023,25-01-2023,14:15,41900,41876.15,57.7,84.7,,,,,,,,,,,,,,,,,,,,,,,10.475030450669925,14:21,15.112160566706018,14:26,,,,,,,,,,,,,,
25-01-2023,25-01-2023,14:15,41900,41876.15,57.7,84.7,,,,,,,,,,,,,,,,,,,,,,,10.475030450669925,14:21,15.112160566706018,14:26,,,,,,,,,,,,,,
02-02-2023,02-02-2023,14:15,40400,40329.9,80.0,149.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-02-2023,09-02-2023,14:15,41600,41519.7,37.35,108.85,,,,,,,,,,,,,,,,,,,,,5.094339622641515,14:21,,,15.15847496554892,14:19,,,,,,,,,,,,,,
16-02-2023,16-02-2023,14:15,41800,41764.55,64.85,58.9,,,,,,,,,,,,,,,,,,,,,5.263157894736844,14:44,,,,,,,25.891341256366733,14:41,30.065359477124193,15:08,35.48387096774193,14:22,,,,,50.509337860781,15:02
23-02-2023,23-02-2023,14:15,40100,40067.7,46.9,100.45,,,10.747663551401878,14:22,,,,,,,30.383795309168445,14:16,,,40.65420560747663,14:24,,,,,,,10.80139372822299,14:27,15.430562468889994,14:46,20.30861124937779,15:01,25.829145728643223,15:06,30.76157292185166,14:40,35.788949726231955,15:11,40.318566450970614,15:02,,,,
02-03-2023,02-03-2023,14:15,40500,40433.0,32.8,87.9,5.987654320987647,14:27,10.555555555555552,14:29,,,20.308641975308646,14:32,,,,,,,,,,,,,5.176336746302613,15:15,10.97838452787257,14:51,15.529010238907839,14:52,20.36405005688281,14:19,,,,,,,,,,,,
09-03-2023,09-03-2023,14:15,41400,41391.75,39.7,48.9,,,,,,,,,,,,,,,,,,,,,5.112474437627812,14:32,,,,,20.588235294117638,14:19,25.816993464052278,14:53,30.71895424836601,15:11,35.947712418300654,14:57,,,,,,
16-03-2023,16-03-2023,14:15,39300,39213.35,71.7,130.95,,,,,,,,,,,,,,,,,,,50.4881450488145,14:30,,,,,15.960290187094317,14:19,,,,,,,,,40.1178010471204,15:08,,,50.286368843069894,14:51
23-03-2023,23-03-2023,14:15,40000,39994.55,40.65,94.35,,,10.81808396124865,14:18,15.990159901599016,14:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.041279669762616,14:26,45.51083591331269,14:25,,
29-03-2023,29-03-2023,14:15,39900,39888.8,103.3,59.05,,,,,,,,,,,,,,,,,,,,,,,10.76388888888888,14:17,,,,,,,,,,,,,,,,
29-03-2023,29-03-2023,14:15,39900,39888.8,103.3,59.05,,,,,,,,,,,,,,,,,,,,,,,10.76388888888888,14:17,,,,,,,,,,,,,,,,
06-04-2023,06-04-2023,14:15,41000,40994.75,60.2,63.6,5.993563958165731,14:45,10.901045856798067,14:26,15.780730897009965,14:56,20.764119601328904,15:08,,,,,35.67980691874498,14:50,,,45.05229283990347,14:53,50.08045052292841,14:37,,,,,,,,,,,,,,,,,,,,
06-04-2023,06-04-2023,14:15,41000,40994.75,60.2,63.6,5.993563958165731,14:45,10.901045856798067,14:26,15.780730897009965,14:56,20.764119601328904,15:08,,,,,35.67980691874498,14:50,,,45.05229283990347,14:53,50.08045052292841,14:37,,,,,,,,,,,,,,,,,,,,
13-04-2023,13-04-2023,14:15,41900,41829.4,39.4,85.5,,,,,15.884861407249474,14:22,20.46908315565032,14:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-04-2023,13-04-2023,14:15,41900,41829.4,39.4,85.5,,,,,15.884861407249474,14:22,20.46908315565032,14:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-04-2023,20-04-2023,14:15,42200,42139.5,40.25,101.7,5.093167701863347,14:53,,,15.789473684210517,14:16,,,25.71428571428572,14:45,30.537280701754376,14:48,35.47149122807017,14:37,40.07675438596491,14:23,45.09316770186335,15:03,50.76754385964912,14:54,,,,,,,,,,,,,,,,,,,,
27-04-2023,27-04-2023,14:15,43000,42957.5,29.2,113.45,,,,,,,20.0,14:59,,,30.036363636363646,15:06,35.345454545454544,15:02,,,,,,,5.597014925373134,14:30,,,15.29308065226973,14:16,20.429104477611933,14:26,,,,,,,,,,,,
04-05-2023,04-05-2023,14:15,43500,43482.9,40.95,71.85,5.128205128205114,14:28,10.012210012209998,14:34,15.450861195542046,14:26,20.87132725430597,14:25,,,,,,,40.98277608915907,14:40,45.84599797365753,14:42,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023,14:15,43600,43557.65,71.5,59.25,5.897435897435906,14:27,,,,,20.366300366300376,14:18,25.454545454545457,14:18,30.695970695970697,14:20,,,40.21978021978022,14:24,45.31468531468532,14:21,,,,,10.687022900763361,14:31,15.18987341772152,14:32,,,25.000000000000007,14:30,,,35.44303797468354,14:28,,,45.61068702290076,14:28,,
18-05-2023,18-05-2023,14:15,43900,43856.1,50.6,96.35,,,,,15.130260521042093,14:28,,,,,,,,,,,,,,,,,10.65989847715736,14:17,,,,,25.0761421319797,15:05,,,,,,,,,50.1522842639594,14:19
25-05-2023,25-05-2023,14:15,43600,43503.4,29.8,110.75,,,10.570469798657726,14:21,15.525758645024702,14:42,20.889202540578705,14:33,,,30.872483221476504,14:45,,,40.93154551870148,14:46,45.87155963302752,14:25,,,,,,,15.67307692307692,14:18,,,,,,,,,,,,,,
01-06-2023,01-06-2023,14:15,44100,44016.05,30.45,132.8,,,,,,,,,,,,,,,,,,,,,5.3521126760563345,14:28,10.492957746478877,14:23,15.985915492957739,14:26,20.030120481927703,14:55,25.352112676056336,14:37,30.985915492957744,14:51,35.20331325301205,14:36,40.88855421686745,14:49,45.28169014084508,15:00,,
08-06-2023,08-06-2023,14:15,44300,44227.5,21.2,121.95,5.240549828178689,14:16,10.738831615120274,14:17,,,,,,,,,,,,,,,,,5.986059860598603,14:24,,,15.8894645941278,14:19,20.81174438687393,14:23,25.474956822107092,14:47,,,,,,,,,,
15-06-2023,15-06-2023,14:15,43600,43542.8,38.4,104.2,,,,,,,,,,,,,,,,,,,,,5.278310940499041,14:16,,,,,20.393474088291747,14:18,25.482233502538065,14:19,30.902111324376204,14:35,35.126903553299485,14:27,,,,,50.65989847715736,14:24
22-06-2023,22-06-2023,14:15,44000,43922.15,44.1,102.25,,,,,,,,,,,,,,,,,,,,,5.8679706601467,14:16,,,,,,,,,,,,,,,,,50.806845965770165,14:19
