date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
02-06-2022,02-06-2022,12:30,0.05,35500,35537.05,146.25,135.05,2022-06-02 12:42:00,104.75,90.2,2022-06-02 12:34:00,-25.749999999999986,,-25.749999999999986
09-06-2022,09-06-2022,12:30,0.05,34800,34856.6,110.35,89.35,2022-06-09 13:01:00,76.6,71.6,2022-06-09 12:31:00,-26.0,,-26.0
16-06-2022,16-06-2022,12:30,0.05,33000,33084.5,181.4,167.7,2022-06-16 12:42:00,85.2,77.75,2022-06-16 12:31:00,-21.15000000000002,,-21.15000000000002
23-06-2022,23-06-2022,12:30,0.05,33000,33001.25,87.15,82.2,2022-06-23 12:39:00,143.9,135.3,2022-06-23 12:33:00,-13.549999999999997,,-13.549999999999997
30-06-2022,30-06-2022,12:30,0.05,33400,33415.0,110.8,99.4,2022-06-30 12:35:00,179.7,168.05,2022-06-30 12:36:00,-23.04999999999997,,-23.04999999999997
07-07-2022,07-07-2022,12:30,0.05,34700,34721.9,104.85,88.35,2022-07-07 12:31:00,95.9,89.15,2022-07-07 12:38:00,-23.25,,-23.25
14-07-2022,14-07-2022,12:30,0.05,34600,34695.85,177.65,167.1,2022-07-14 12:33:00,57.15,54.1,2022-07-14 12:32:00,-13.600000000000009,,-13.600000000000009
21-07-2022,21-07-2022,12:30,0.05,36200,36265.1,124.6,117.6,2022-07-21 12:31:00,77.6,67.35,2022-07-21 12:42:00,-17.25,,-17.25
28-07-2022,28-07-2022,12:30,0.05,37200,37290.3,145.0,134.2,2022-07-28 12:35:00,53.7,46.2,2022-07-28 12:38:00,-18.30000000000001,,-18.30000000000001
04-08-2022,04-08-2022,12:30,0.05,37600,37631.8,118.0,110.1,2022-08-04 12:31:00,96.9,88.85,2022-08-04 12:35:00,-15.950000000000017,,-15.950000000000017
11-08-2022,11-08-2022,12:30,0.05,38800,38890.0,150.05,142.0,2022-08-11 12:31:00,43.85,39.35,2022-08-11 12:42:00,-12.550000000000011,,-12.550000000000011
18-08-2022,18-08-2022,12:30,0.05,39300,39373.45,131.0,346.45,2022-08-18 15:20:00,54.9,45.65,2022-08-18 12:31:00,206.2,206.2,
