date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss
02-06-2022,02-06-2022,12:31,0.05,35600,35539.5,100.85,95.4,2022-06-02 12:41:00,160.1,136.6,2022-06-02 12:34:00,-28.94999999999999,,-28.94999999999999
09-06-2022,09-06-2022,12:31,0.05,34900,34857.55,69.3,61.65,2022-06-09 12:53:00,126.0,118.95,2022-06-09 12:32:00,-14.699999999999996,,-14.699999999999996
16-06-2022,16-06-2022,12:31,0.05,33100,33083.7,135.95,121.5,2022-06-16 12:41:00,117.4,108.45,2022-06-16 12:32:00,-23.39999999999999,,-23.39999999999999
23-06-2022,23-06-2022,12:31,0.05,33000,32958.95,86.55,82.2,2022-06-23 12:39:00,147.6,135.3,2022-06-23 12:33:00,-16.649999999999977,,-16.649999999999977
30-06-2022,30-06-2022,12:31,0.05,33400,33340.1,108.4,99.4,2022-06-30 12:35:00,178.15,168.05,2022-06-30 12:36:00,-19.099999999999994,,-19.099999999999994
07-07-2022,07-07-2022,12:31,0.05,34800,34722.9,52.3,46.6,2022-07-07 12:44:00,165.65,157.0,2022-07-07 12:35:00,-14.350000000000001,,-14.350000000000001
14-07-2022,14-07-2022,12:31,0.05,34700,34696.45,114.7,101.3,2022-07-14 12:33:00,89.85,82.85,2022-07-14 12:59:00,-20.400000000000006,,-20.400000000000006
21-07-2022,21-07-2022,12:31,0.05,36300,36262.8,66.6,62.4,2022-07-21 12:35:00,128.5,112.25,2022-07-21 12:42:00,-20.449999999999996,,-20.449999999999996
28-07-2022,28-07-2022,12:31,0.05,37300,37299.15,86.05,79.55,2022-07-28 12:34:00,92.1,81.7,2022-07-28 12:38:00,-16.89999999999999,,-16.89999999999999
04-08-2022,04-08-2022,12:31,0.05,37700,37620.35,64.95,56.4,2022-08-04 12:32:00,156.95,142.8,2022-08-04 12:35:00,-22.69999999999998,,-22.69999999999998
11-08-2022,11-08-2022,12:31,0.05,38900,38897.0,82.35,76.85,2022-08-11 12:37:00,86.95,78.05,2022-08-11 12:42:00,-14.400000000000006,,-14.400000000000006
18-08-2022,18-08-2022,12:31,0.05,39400,39377.85,80.3,64.75,2022-08-18 12:49:00,81.75,67.9,2022-08-18 12:32:00,-29.39999999999999,,-29.39999999999999
25-08-2022,25-08-2022,12:31,0.05,39400,39389.8,101.85,96.3,2022-08-25 12:44:00,81.4,74.3,2022-08-25 12:32:00,-12.650000000000006,,-12.650000000000006
01-09-2022,01-09-2022,12:31,0.05,39400,39399.1,155.15,146.35,2022-09-01 12:55:00,146.95,131.2,2022-09-01 12:33:00,-24.55000000000001,,-24.55000000000001
08-09-2022,08-09-2022,12:31,0.05,40100,40037.7,97.9,86.6,2022-09-08 12:50:00,154.55,140.1,2022-09-08 12:34:00,-25.75000000000003,,-25.75000000000003
15-09-2022,15-09-2022,12:31,0.05,41300,41288.1,130.1,122.15,2022-09-15 12:40:00,132.2,124.65,2022-09-15 12:33:00,-15.499999999999972,,-15.499999999999972
22-09-2022,22-09-2022,12:31,0.05,40500,40463.45,121.55,111.15,2022-09-22 12:40:00,143.8,136.4,2022-09-22 12:34:00,-17.799999999999997,,-17.799999999999997
29-09-2022,29-09-2022,12:31,0.05,37900,37800.15,103.55,89.75,2022-09-29 12:32:00,177.1,154.45,2022-09-29 14:36:00,-36.45,,-36.45
06-10-2022,06-10-2022,12:31,0.05,39500,39411.65,66.1,61.3,2022-10-06 13:59:00,163.35,147.4,2022-10-06 12:33:00,-20.749999999999986,,-20.749999999999986
13-10-2022,13-10-2022,12:31,0.05,38600,38553.65,77.1,72.45,2022-10-13 12:32:00,151.55,132.75,2022-10-13 12:37:00,-23.450000000000003,,-23.450000000000003
20-10-2022,20-10-2022,12:31,0.05,40100,40000.6,53.1,47.1,2022-10-20 12:33:00,173.4,162.05,2022-10-20 12:44:00,-17.349999999999994,,-17.349999999999994
27-10-2022,27-10-2022,12:31,0.05,41300,41241.8,67.9,61.6,2022-10-27 12:48:00,128.85,117.9,2022-10-27 12:32:00,-17.249999999999993,,-17.249999999999993
03-11-2022,03-11-2022,12:31,0.05,41400,41304.95,46.1,42.35,2022-11-03 12:34:00,170.0,153.95,2022-11-03 13:09:00,-19.80000000000001,,-19.80000000000001
10-11-2022,10-11-2022,12:31,0.05,41400,41357.3,68.85,65.35,2022-11-10 12:32:00,87.9,79.9,2022-11-10 12:36:00,-11.5,,-11.5
17-11-2022,17-11-2022,12:31,0.05,42500,42464.2,65.95,62.65,2022-11-17 12:32:00,69.5,65.3,2022-11-17 12:38:00,-7.500000000000007,,-7.500000000000007
24-11-2022,24-11-2022,12:31,0.05,43000,42930.9,36.6,33.4,2022-11-24 12:42:00,100.1,94.85,2022-11-24 12:46:00,-8.450000000000003,,-8.450000000000003
01-12-2022,01-12-2022,12:31,0.05,43400,43392.65,70.45,66.75,2022-12-01 12:57:00,54.75,51.7,2022-12-01 12:37:00,-6.75,,-6.75
08-12-2022,08-12-2022,12:31,0.05,43500,43406.35,27.3,24.9,2022-12-08 12:37:00,151.6,134.95,2022-12-08 12:59:00,-19.050000000000008,,-19.050000000000008
15-12-2022,15-12-2022,12:31,0.05,43900,43899.35,64.6,50.35,2022-12-15 12:32:00,78.4,73.5,2022-12-15 12:48:00,-19.15,,-19.15
22-12-2022,22-12-2022,12:31,0.05,42400,42328.65,94.35,82.05,2022-12-22 12:32:00,133.3,111.25,2022-12-22 13:09:00,-34.35000000000001,,-34.35000000000001
29-12-2022,29-12-2022,12:31,0.05,42700,42637.9,54.8,51.5,2022-12-29 12:52:00,129.15,120.3,2022-12-29 12:32:00,-12.150000000000006,,-12.150000000000006
